,coeffs,curve-smooth,curve-split-number,splits-reduced,splits-smooth,splits-genera,splits-intersections,splits-classes,split-type,determinant,split-type2
1807,"1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0",False,4,"[True, True, True, False]","[True, True, True, False]","[0, 0, 0, -2]","[[4, 0, 0, 4], [0, -1, 0, 0], [0, 0, -1, 2], [4, 0, 2, -4]]","[[0, 0, 2, 0, 2, 2], [0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]",85,-16,43
1808,"1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1809,"1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0",False,3,"[True, True, True]","[True, True, True]","[1, 0, 0]","[[8, 0, 2], [0, -1, 0], [2, 0, -1]]","[[0, 0, 2, 0, 3, 3], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0]]",9,12,9
1810,"1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1811,"1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0",False,3,"[True, True, True]","[True, True, True]","[0, 0, 1]","[[-1, 0, 0], [0, -1, 2], [0, 2, 8]]","[[0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 2, 4]]",10,12,9
1812,"1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1813,"1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 1, 0, 2, 2, 4]]",0,-11,0
1814,"1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1815,"1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0",False,4,"[True, True, True, True]","[True, True, True, True]","[1, 0, 0, 0]","[[7, 0, 1, 1], [0, -1, 0, 0], [1, 0, -1, 1], [1, 0, 1, -1]]","[[0, 0, 1, 1, 2, 3], [0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",43,-4,35
1816,"1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1817,"1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0",False,3,"[True, True, True]","[True, True, True]","[1, 0, 0]","[[8, 0, 2], [0, -1, 0], [2, 0, -1]]","[[0, 0, 2, 0, 3, 3], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0]]",9,12,9
1818,"1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1819,"1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0",False,4,"[True, True, True, True]","[True, True, True, True]","[-1, -1, 0, 0]","[[0, 4, 0, 2], [4, 0, 0, 0], [0, 0, -1, 0], [2, 0, 0, -1]]","[[0, 0, 0, 2, 0, 2], [0, 0, 0, 0, 2, 2], [0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0]]",50,-16,39
1820,"1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1821,"1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 1, 0, 2, 2, 4]]",0,-11,0
1822,"1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1823,"1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0",False,4,"[True, True, False, True]","[True, True, False, True]","[0, 0, -2, 0]","[[4, 0, 4, 0], [0, -1, 0, 0], [4, 0, -4, 2], [0, 0, 2, -1]]","[[0, 0, 0, 2, 1, 3], [0, 0, 0, 0, 0, 1], [0, 2, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",84,-16,43
1824,"1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1825,"1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0",False,3,"[True, True, True]","[True, True, True]","[1, 0, 0]","[[8, 0, 2], [0, -1, 0], [2, 0, -1]]","[[0, 0, 2, 0, 3, 3], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0]]",9,12,9
1826,"1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1",False,3,"[True, True, True]","[True, True, True]","[1, 0, 0]","[[7, 2, 0], [2, 0, 0], [0, 0, -1]]","[[0, 0, 1, 1, 2, 3], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1]]",4,4,4
1827,"1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0",False,3,"[True, True, True]","[True, True, False]","[0, 0, 1]","[[-1, 0, 0], [0, -1, 2], [0, 2, 8]]","[[0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 2, 4]]",13,12,11
1828,"1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1829,"1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 1, 0, 2, 2, 4]]",0,-11,0
1830,"1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1831,"1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0",False,4,"[True, True, True, True]","[True, True, True, True]","[1, 0, 0, 0]","[[7, 0, 1, 1], [0, -1, 0, 0], [1, 0, -1, 1], [1, 0, 1, -1]]","[[0, 0, 1, 1, 2, 3], [0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",43,-4,35
1832,"1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1833,"1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0",False,3,"[True, True, True]","[True, True, True]","[1, 0, 0]","[[8, 0, 2], [0, -1, 0], [2, 0, -1]]","[[0, 0, 2, 0, 3, 3], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0]]",9,12,9
1834,"1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1835,"1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0",False,3,"[True, True, True]","[True, True, True]","[0, 0, 1]","[[-1, 0, 0], [0, -1, 2], [0, 2, 8]]","[[0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 2, 4]]",10,12,9
1836,"1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1837,"1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 1, 0, 2, 2, 4]]",0,-11,0
1838,"1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1",True,2,"[True, True]","[True, True]","[0, 2]","[[-1, 0], [0, 11]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 3, 4]]",0,-11,0
1839,"1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0",False,4,"[True, True, True, True]","[True, True, True, True]","[1, 0, 0, 0]","[[7, 0, 1, 1], [0, -1, 0, 0], [1, 0, -1, 1], [1, 0, 1, -1]]","[[0, 1, 0, 2, 1, 3], [0, 0, 0, 0, 0, 1], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",43,-4,35
