,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[2, 1, -4, 2]",10,4,7,2,"[-4, 0, 5, 4]",-13,0,"['NA', 'NA', [6, 0], [5, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[2, 1, -4, 2]",5,4,6,1,"[-2, 0, 8, -1]",-5,0,"[[0, 1], 'NA', 'NA', [0, 0]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[2, 1, -4, 2]",6,4,6,1,"[-2, 0, 4, 3]",-5,0,"[[0, 1], 'NA', [5, 0], [4, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[2, 1, -4, 2]",6,4,7,2,"[-4, 0, 10, -1]",-13,0,"['NA', [1, 0], 'NA', [0, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[2, 1, -4, 2]",6,4,7,2,"[-4, 0, 5, 4]",-13,0,"['NA', [1, 0], [6, 0], [5, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[2, 1, -4, 2]",6,3,6,1,"[-2, 0, 7]",-5,0,"[[0, 1], [1, 0], [8, 0]]"
6,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[2, 1, -4, 2]",6,3,6,1,"[-2, 0, 7]",-5,0,"[[0, 1], [1, 0], [8, 0]]"
7,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[2, 1, -4, 2]",9,6,7,2,"[-2, 0, 5, 4, -1, -1]",-13,0,"[[0, 1], [1, 0], [6, 0], [5, 0], [0, 0], [0, 0]]"
8,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[2, 1, -4, 2]",6,5,7,2,"[-2, 0, 5, 4, -2]",-13,0,"[[0, 1], [1, 0], [6, 0], [5, 0], [0, 1]]"
9,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[2, 1, -4, 2]",6,5,6,1,"[4, -2, 0, 4, -1]",-5,0,"[[5, 0], [0, 1], [1, 0], [5, 0], [0, 0]]"
