,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",12,4,8,2,"[-4, 0, 6, 4]",-15,0,"['NA', 'NA', [7, 0], [5, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",6,4,7,1,"[-2, 0, 8, 0]",-6,0,"[[0, 1], 'NA', 'NA', [1, 0]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",6,4,7,1,"[-2, 0, 4, 4]",-6,0,"[[0, 1], 'NA', [5, 0], [5, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",6,4,9,3,"[-4, 0, 12, -2]",-26,0,"['NA', [1, 0], 'NA', [0, 1]]"
4,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",6,4,8,2,"[-4, 0, 6, 4]",-15,0,"['NA', [1, 0], [7, 0], [5, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",6,3,7,1,"[-2, 0, 8]",-6,0,"[[0, 1], [1, 0], [9, 0]]"
6,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",6,3,7,1,"[-2, 0, 8]",-6,0,"[[0, 1], [1, 0], [9, 0]]"
7,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",12,6,8,2,"[-2, 0, 6, 4, -2, 0]",-15,0,"[[0, 1], [1, 0], [7, 0], [5, 0], [0, 1], [1, 0]]"
8,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",6,5,8,2,"[-2, 0, 6, 4, -2]",-15,0,"[[0, 1], [1, 0], [7, 0], [5, 0], [0, 1]]"
9,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",6,5,7,1,"[4, -2, 0, 4, 0]",-6,0,"[[5, 0], [0, 1], [1, 0], [5, 0], [1, 0]]"
10,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",6,4,7,1,"[-2, 0, 4, 4]",-6,0,"[[0, 1], [1, 0], [5, 0], [5, 0]]"
11,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",6,5,8,2,"[-2, 0, 6, -2, 4]",-15,0,"[[0, 1], [1, 0], [7, 0], [0, 1], [5, 0]]"
12,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",7,4,7,1,"[-2, 0, 6, 2]",-6,0,"[[0, 1], [1, 0], [7, 0], [3, 0]]"
13,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",6,3,7,1,"[-2, 0, 8]",-6,0,"[[0, 1], [1, 0], [9, 0]]"
14,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",7,4,7,1,"[4, -2, 0, 4]",-6,0,"[[5, 0], [0, 1], [1, 0], [5, 0]]"
15,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",11,4,7,1,"[0, 8, -2, 0]",-6,0,"[[1, 0], 'NA', [0, 1], 'NA']"
16,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",6,3,6,0,"[0, 4, 2]",1,0,"[[1, 0], [5, 0], [3, 0]]"
17,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",6,4,7,1,"[-2, 0, 8, 0]",-6,0,"[[0, 1], [1, 0], 'NA', [1, 0]]"
18,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",6,3,6,0,"[0, 4, 2]",1,0,"[[1, 0], [5, 0], [3, 0]]"
19,"[0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",6,3,7,1,"[0, -2, 8]",-6,0,"[[1, 0], [0, 1], [10, 0]]"
20,"[0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",6,2,6,0,"[0, 6]",1,0,"[[1, 0], [7, 0]]"
21,"[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",7,2,6,0,"[0, 6]",1,0,"[[1, 0], [7, 0]]"
22,"[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",6,2,6,0,"[0, 6]",1,0,"[[1, 0], [7, 0]]"
23,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",11,5,7,1,"[4, 0, 4, -2, 0]",-6,0,"[[5, 0], [1, 0], [5, 0], [0, 1], [1, 0]]"
24,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",6,3,6,0,"[0, 4, 2]",1,0,"[[1, 0], [5, 0], [3, 0]]"
25,"[0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[2, 2, -4, 2]",5,4,6,0,"[2, 0, 4, 0]",1,0,"[[3, 0], [1, 0], [5, 0], [1, 0]]"
