,coeffs,curve-smooth,curve-split-number,splits-reduced,splits-smooth,splits-genera,splits-intersections,splits-classes,split-type,determinant,split-type2
0,"0.,0.,0.,0.,0.,0.,0.,0.,0.,1.",False,4,"[False, False, True, True]","[False, False, True, True]","[-5, -5, 0, 0]","[[-9, 9, 3, 0], [9, -9, 0, 3], [3, 0, -1, 0], [0, 3, 0, -1]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 3, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0]]",79,-81,32
1,"0.,0.,0.,0.,0.,0.,0.,0.,1.,0.",False,4,"[False, False, False, True]","[False, False, False, True]","[-2, -5, -2, 0]","[[-4, 6, 0, 0], [6, -9, 6, 0], [0, 6, -4, 2], [0, 0, 2, -1]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 3, 0], [0, 0, 2, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",81,-144,34
2,"0.,0.,0.,0.,0.,0.,0.,0.,1.,1.",False,4,"[False, False, True, True]","[False, False, True, True]","[-2, -5, 0, 0]","[[-4, 6, 0, 0], [6, -9, 3, 3], [0, 3, -1, 0], [0, 3, 0, 0]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 3, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 1]]",71,-36,29
3,"0.,0.,0.,0.,0.,0.,0.,1.,0.,0.",False,4,"[False, False, False, True]","[False, False, False, True]","[-5, -2, -2, 0]","[[-9, 6, 6, 0], [6, -4, 0, 0], [6, 0, -4, 2], [0, 0, 2, -1]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 0, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0]]",82,-144,34
4,"0.,0.,0.,0.,0.,0.,0.,1.,0.,1.",False,4,"[False, False, True, True]","[False, False, True, True]","[-5, -2, 0, 0]","[[-9, 6, 3, 3], [6, -4, 0, 0], [3, 0, -1, 0], [3, 0, 0, 0]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 1, 0]]",72,-36,29
5,"0.,0.,0.,0.,0.,0.,0.,1.,1.,0.",False,3,"[False, False, True]","[False, False, True]","[-2, -2, 0]","[[-4, 4, 2], [4, -4, 2], [2, 2, 2]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 2, 0], [0, 1, 0, 2, 0, 1]]",31,64,18
6,"0.,0.,0.,0.,0.,0.,0.,1.,1.,1.",False,3,"[False, False, True]","[False, False, True]","[-2, -2, 0]","[[-4, 4, 2], [4, -4, 2], [2, 2, 2]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 2, 0], [0, 0, 1, 1, 1, 1]]",31,64,18
7,"0.,0.,0.,0.,0.,0.,1.,0.,0.,0.",False,6,"[False, False, True, True, True, True]","[False, False, True, True, True, True]","[-2, -2, 0, 0, 0, 0]","[[-4, 4, 2, 0, 0, 0], [4, -4, 0, 2, 0, 0], [2, 0, -1, 0, 1, 0], [0, 2, 0, -1, 0, 1], [0, 0, 1, 0, -1, 1], [0, 0, 0, 1, 1, -1]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",123,0,46
8,"0.,0.,0.,0.,0.,0.,1.,0.,0.,1.",False,5,"[False, False, True, True, True]","[False, False, True, True, True]","[-2, -2, 0, 0, 0]","[[-4, 4, 2, 0, 0], [4, -4, 0, 2, 0], [2, 0, -1, 0, 1], [0, 2, 0, -1, 1], [0, 0, 1, 1, 0]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 1, 1]]",100,0,40
9,"0.,0.,0.,0.,0.,0.,1.,0.,1.,0.",False,5,"[True, False, False, True, True]","[True, False, False, True, True]","[0, -2, -2, 0, 0]","[[0, 2, 0, 0, 1], [2, -4, 4, 0, 0], [0, 4, -4, 2, 0], [0, 0, 2, -1, 1], [1, 0, 0, 1, -1]]","[[0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",101,0,41
10,"0.,0.,0.,0.,0.,0.,1.,0.,1.,1.",False,4,"[False, False, True, True]","[False, False, True, True]","[-2, -2, 0, 0]","[[-4, 4, 0, 2], [4, -4, 2, 0], [0, 2, -1, 1], [2, 0, 1, 1]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 1, 1]]",73,-16,30
11,"0.,0.,0.,0.,0.,0.,1.,1.,0.,0.",False,5,"[False, False, True, True, True]","[False, False, True, True, True]","[-2, -2, 0, 0, 0]","[[-4, 4, 2, 0, 0], [4, -4, 0, 0, 2], [2, 0, -1, 1, 0], [0, 0, 1, -1, 1], [0, 2, 0, 1, 0]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1]]",102,0,40
12,"0.,0.,0.,0.,0.,0.,1.,1.,0.,1.",False,4,"[False, False, True, True]","[False, False, True, True]","[-2, -2, 0, 0]","[[-4, 4, 2, 0], [4, -4, 0, 2], [2, 0, -1, 1], [0, 2, 1, 1]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 1, 1]]",74,-16,30
13,"0.,0.,0.,0.,0.,0.,1.,1.,1.,0.",False,3,"[False, False, True]","[False, False, True]","[-2, -2, 0]","[[-4, 4, 2], [4, -4, 2], [2, 2, 2]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 2, 0], [0, 1, 0, 2, 0, 1]]",31,64,18
14,"0.,0.,0.,0.,0.,0.,1.,1.,1.,1.",False,4,"[True, False, False, True]","[True, False, False, True]","[0, -2, -2, 0]","[[0, 2, 0, 1], [2, -4, 4, 0], [0, 4, -4, 2], [1, 0, 2, 0]]","[[0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 1]]",69,-16,28
15,"0.,0.,0.,0.,0.,1.,0.,0.,0.,0.",False,5,"[True, False, False, True, False]","[True, False, False, True, False]","[0, -2, -2, 0, -2]","[[-1, 2, 0, 0, 0], [2, -4, 4, 0, 0], [0, 4, -4, 0, 4], [0, 0, 0, -1, 2], [0, 0, 4, 2, -4]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 2, 0, 0, 0], [0, 1, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]",110,0,42
16,"0.,0.,0.,0.,0.,1.,0.,0.,0.,1.",False,4,"[True, False, True, True]","[True, False, True, True]","[0, -2, 0, 0]","[[-1, 2, 0, 0], [2, -4, 2, 2], [0, 2, -1, 1], [0, 2, 1, 2]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 1, 2]]",59,-4,25
17,"0.,0.,0.,0.,0.,1.,0.,0.,1.,0.",False,5,"[True, True, False, False, True]","[True, True, False, False, True]","[0, 0, -2, -2, 0]","[[0, 0, 0, 2, 0], [0, -1, 2, 0, 0], [0, 2, -4, 4, 0], [2, 0, 4, -4, 2], [0, 0, 0, 2, -1]]","[[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 2, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",103,0,41
18,"0.,0.,0.,0.,0.,1.,0.,0.,1.,1.",False,4,"[True, False, True, True]","[True, False, True, True]","[0, -2, 0, 0]","[[-1, 2, 0, 0], [2, -4, 2, 2], [0, 2, -1, 1], [0, 2, 1, 2]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 1, 2]]",59,-4,25
19,"0.,0.,0.,0.,0.,1.,0.,1.,0.,0.",False,4,"[True, False, True, True]","[True, False, True, True]","[0, -2, 0, -1]","[[-1, 2, 0, 0], [2, -4, 0, 4], [0, 0, -1, 2], [0, 4, 2, 0]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 0, 2]]",63,-16,27
20,"0.,0.,0.,0.,0.,1.,0.,1.,0.,1.",False,3,"[True, False, True]","[True, False, True]","[0, -2, 0]","[[-1, 2, 0], [2, -4, 4], [0, 4, 3]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 1, 1, 1, 2]]",27,16,16
21,"0.,0.,0.,0.,0.,1.,0.,1.,1.,0.",False,3,"[True, False, True]","[True, False, True]","[0, -2, 0]","[[-1, 2, 0], [2, -4, 4], [0, 4, 3]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 1, 0, 2, 0, 2]]",27,16,16
22,"0.,0.,0.,0.,0.,1.,0.,1.,1.,1.",False,3,"[True, False, True]","[True, False, True]","[0, -2, 0]","[[-1, 2, 0], [2, -4, 4], [0, 4, 3]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 1, 1, 1, 2]]",27,16,16
23,"0.,0.,0.,0.,0.,1.,1.,0.,0.,0.",False,6,"[True, True, False, True, True, True]","[True, True, False, True, True, True]","[0, 0, -2, 0, 0, 0]","[[0, 0, 2, 0, 1, 0], [0, -1, 2, 0, 0, 0], [2, 2, -4, 2, 0, 0], [0, 0, 2, -1, 0, 1], [1, 0, 0, 0, -1, 1], [0, 0, 0, 1, 1, -1]]","[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",119,0,45
24,"0.,0.,0.,0.,0.,1.,1.,0.,0.,1.",False,4,"[True, False, True, True]","[True, False, True, True]","[0, -2, 0, 0]","[[-1, 2, 0, 0], [2, -4, 2, 2], [0, 2, -1, 1], [0, 2, 1, 2]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 1, 2]]",59,-4,25
25,"0.,0.,0.,0.,0.,1.,1.,0.,1.,0.",False,5,"[True, True, False, True, True]","[True, True, False, True, True]","[0, 0, -2, 0, 0]","[[1, 0, 2, 0, 1], [0, -1, 2, 0, 0], [2, 2, -4, 2, 0], [0, 0, 2, -1, 1], [1, 0, 0, 1, -1]]","[[0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",96,0,38
26,"0.,0.,0.,0.,0.,1.,1.,0.,1.,1.",False,5,"[True, True, True, False, True]","[True, True, True, False, True]","[0, 0, 0, -2, 0]","[[0, 1, 0, 0, 1], [1, 0, 0, 2, 0], [0, 0, -1, 2, 0], [0, 2, 2, -4, 2], [1, 0, 0, 2, -1]]","[[0, 0, 0, 0, 1, 1], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0]]",92,0,38
27,"0.,0.,0.,0.,0.,1.,1.,1.,0.,0.",False,4,"[True, False, True, True]","[True, False, True, True]","[0, -2, 0, -1]","[[-1, 2, 0, 0], [2, -4, 0, 4], [0, 0, -1, 2], [0, 4, 2, 0]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 0, 2]]",63,-16,27
28,"0.,0.,0.,0.,0.,1.,1.,1.,0.,1.",False,3,"[True, False, True]","[True, False, True]","[0, -2, 0]","[[-1, 2, 0], [2, -4, 4], [0, 4, 3]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 1, 1, 1, 2]]",27,16,16
29,"0.,0.,0.,0.,0.,1.,1.,1.,1.,0.",False,3,"[True, False, True]","[True, False, True]","[0, -2, 0]","[[-1, 2, 0], [2, -4, 4], [0, 4, 3]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 1, 0, 2, 0, 2]]",27,16,16
30,"0.,0.,0.,0.,0.,1.,1.,1.,1.,1.",False,3,"[True, False, True]","[True, False, True]","[0, -2, 0]","[[-1, 2, 0], [2, -4, 4], [0, 4, 3]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 1, 1, 1, 2]]",27,16,16
31,"0.,0.,0.,0.,1.,0.,0.,0.,0.,0.",False,5,"[False, True, False, False, True]","[False, True, False, False, True]","[-2, 0, -2, -2, 0]","[[-4, 2, 4, 0, 0], [2, -1, 0, 0, 0], [4, 0, -4, 4, 0], [0, 0, 4, -4, 2], [0, 0, 0, 2, -1]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 0, 0, 2, 0, 0], [0, 2, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",111,0,43
32,"0.,0.,0.,0.,1.,0.,0.,0.,0.,1.",False,4,"[False, True, True, True]","[False, True, True, True]","[-2, 0, 0, 0]","[[-4, 2, 2, 2], [2, -1, 0, 0], [2, 0, -1, 1], [2, 0, 1, 2]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 2, 1]]",60,-4,26
33,"0.,0.,0.,0.,1.,0.,0.,0.,1.,0.",False,4,"[True, False, True, True]","[True, False, True, True]","[-1, -2, 0, 0]","[[0, 4, 0, 2], [4, -4, 2, 0], [0, 2, -1, 0], [2, 0, 0, -1]]","[[0, 0, 2, 0, 2, 0], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0]]",64,-16,27
34,"0.,0.,0.,0.,1.,0.,0.,0.,1.,1.",False,3,"[False, True, True]","[False, True, True]","[-2, 0, 0]","[[-4, 2, 4], [2, -1, 0], [4, 0, 3]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 0, 1, 1, 2, 1]]",28,16,17
35,"0.,0.,0.,0.,1.,0.,0.,1.,0.,0.",False,5,"[False, True, False, True, True]","[False, True, False, True, True]","[-2, 0, -2, 0, 0]","[[-4, 2, 4, 0, 0], [2, -1, 0, 0, 0], [4, 0, -4, 2, 2], [0, 0, 2, -1, 0], [0, 0, 2, 0, 0]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 0, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1]]",104,0,40
36,"0.,0.,0.,0.,1.,0.,0.,1.,0.,1.",False,4,"[False, True, True, True]","[False, True, True, True]","[-2, 0, 0, 0]","[[-4, 2, 2, 2], [2, -1, 0, 0], [2, 0, -1, 1], [2, 0, 1, 2]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 2, 1]]",60,-4,26
37,"0.,0.,0.,0.,1.,0.,0.,1.,1.,0.",False,3,"[False, True, True]","[False, True, True]","[-2, 0, 0]","[[-4, 2, 4], [2, -1, 0], [4, 0, 3]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 1, 0, 2, 1, 1]]",28,16,17
38,"0.,0.,0.,0.,1.,0.,0.,1.,1.,1.",False,3,"[False, True, True]","[False, True, True]","[-2, 0, 0]","[[-4, 2, 4], [2, -1, 0], [4, 0, 3]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 0, 1, 1, 2, 1]]",28,16,17
39,"0.,0.,0.,0.,1.,0.,1.,0.,0.,0.",False,6,"[True, False, True, True, True, True]","[True, False, True, True, True, True]","[0, -2, 0, 0, 0, 0]","[[0, 2, 0, 0, 0, 1], [2, -4, 2, 2, 0, 0], [0, 2, -1, 0, 0, 0], [0, 2, 0, -1, 1, 0], [0, 0, 0, 1, -1, 1], [1, 0, 0, 0, 1, -1]]","[[0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",120,0,45
40,"0.,0.,0.,0.,1.,0.,1.,0.,0.,1.",False,4,"[False, True, True, True]","[False, True, True, True]","[-2, 0, 0, 0]","[[-4, 2, 2, 2], [2, -1, 0, 0], [2, 0, -1, 1], [2, 0, 1, 2]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 2, 1]]",60,-4,26
41,"0.,0.,0.,0.,1.,0.,1.,0.,1.,0.",False,4,"[True, False, True, True]","[True, False, True, True]","[-1, -2, 0, 0]","[[0, 4, 0, 2], [4, -4, 2, 0], [0, 2, -1, 0], [2, 0, 0, -1]]","[[0, 0, 2, 0, 2, 0], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0]]",64,-16,27
42,"0.,0.,0.,0.,1.,0.,1.,0.,1.,1.",False,3,"[False, True, True]","[False, True, True]","[-2, 0, 0]","[[-4, 2, 4], [2, -1, 0], [4, 0, 3]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 0, 1, 1, 2, 1]]",28,16,17
43,"0.,0.,0.,0.,1.,0.,1.,1.,0.,0.",False,5,"[False, True, True, True, True]","[False, True, True, True, True]","[-2, 0, 0, 0, 0]","[[-4, 2, 2, 0, 2], [2, -1, 0, 0, 0], [2, 0, -1, 1, 0], [0, 0, 1, -1, 1], [2, 0, 0, 1, 1]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 1, 1]]",97,0,39
44,"0.,0.,0.,0.,1.,0.,1.,1.,0.,1.",False,5,"[True, False, True, True, True]","[True, False, True, True, True]","[0, -2, 0, 0, 0]","[[0, 2, 0, 0, 1], [2, -4, 2, 2, 0], [0, 2, -1, 0, 0], [0, 2, 0, -1, 1], [1, 0, 0, 1, 0]]","[[0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 1]]",93,0,38
