,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",9,4,3,3,"[5, -6, -1, 2]",-8,0,"['NA', 'NA', [0, 0], [3, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",9,4,3,3,"[4, -6, 4, -2]",-8,0,"['NA', 'NA', 'NA', [0, 1]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",9,4,3,3,"[4, -6, 2, 0]",-8,0,"['NA', 'NA', [3, 0], [1, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",8,4,3,3,"[5, -4, -2, 1]",-8,0,"['NA', 'NA', 'NA', [2, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",9,4,3,3,"[5, -4, -1, 0]",-8,0,"['NA', 'NA', [0, 0], [1, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",9,3,3,3,"[4, -4, 0]",-8,0,"['NA', 'NA', [1, 0]]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",9,3,3,3,"[4, -4, 0]",-8,0,"['NA', 'NA', [1, 0]]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",9,6,3,3,"[4, -4, -1, 2, 1, -2]",-8,0,"['NA', 'NA', [0, 0], [3, 0], [2, 0], [0, 1]]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",10,5,3,3,"[4, -4, -1, 2, -1]",-8,0,"['NA', 'NA', [0, 0], [3, 0], [0, 0]]"
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",9,5,3,3,"[0, 4, -4, 2, -2]",-8,0,"[[1, 0], 'NA', 'NA', [3, 0], [0, 1]]"
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",9,4,3,3,"[4, -4, 2, -2]",-8,0,"['NA', 'NA', [3, 0], [0, 1]]"
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",10,5,3,3,"[4, -4, -1, 1, 0]",-8,0,"['NA', 'NA', [0, 0], [2, 0], [1, 0]]"
12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",10,4,3,3,"[4, -4, -1, 1]",-8,0,"['NA', 'NA', [0, 0], [2, 0]]"
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",9,3,3,3,"[4, -4, 0]",-8,0,"['NA', 'NA', [1, 0]]"
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",10,4,3,3,"[0, 4, -4, 0]",-8,0,"[[1, 0], 'NA', 'NA', [1, 0]]"
15,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",9,5,3,3,"[3, -4, 4, 1, -4]",-8,0,"['NA', 'NA', 'NA', [2, 0], 'NA']"
16,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",11,4,3,3,"[3, -4, 2, -1]",-8,0,"['NA', 'NA', [3, 0], [0, 0]]"
17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",9,5,3,3,"[-1, 3, -4, 4, -2]",-8,0,"[[0, 0], 'NA', 'NA', 'NA', [0, 1]]"
18,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",10,4,3,3,"[3, -4, 2, -1]",-8,0,"['NA', 'NA', [3, 0], [0, 0]]"
19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",10,4,3,3,"[3, -4, 1, 0]",-8,0,"['NA', 'NA', [2, 0], [2, 0]]"
20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",10,3,3,3,"[3, -4, 1]",-8,0,"['NA', 'NA', [2, 0]]"
21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",11,3,3,3,"[3, -4, 1]",-8,0,"['NA', 'NA', [2, 0]]"
22,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",10,3,3,3,"[3, -4, 1]",-8,0,"['NA', 'NA', [2, 0]]"
23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",10,6,3,3,"[0, 3, -4, 2, 1, -2]",-8,0,"[[1, 0], 'NA', 'NA', [3, 0], [2, 0], [0, 1]]"
24,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",11,4,3,3,"[3, -4, 2, -1]",-8,0,"['NA', 'NA', [3, 0], [0, 0]]"
25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",11,5,3,3,"[1, 3, -4, 2, -2]",-8,0,"[[2, 0], 'NA', 'NA', [3, 0], [0, 1]]"
26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",11,5,3,3,"[-1, 0, 3, -4, 2]",-8,0,"[[0, 0], [1, 0], 'NA', 'NA', [3, 0]]"
27,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",12,4,3,3,"[3, -4, 1, 0]",-8,0,"['NA', 'NA', [2, 0], [2, 0]]"
28,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",10,3,3,3,"[3, -4, 1]",-8,0,"['NA', 'NA', [2, 0]]"
29,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",12,3,3,3,"[3, -4, 1]",-8,0,"['NA', 'NA', [2, 0]]"
30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",9,3,3,3,"[3, -4, 1]",-8,0,"['NA', 'NA', [2, 0]]"
31,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",9,5,3,3,"[4, -2, -2, 2, -2]",-8,0,"['NA', [0, 1], 'NA', 'NA', [0, 1]]"
32,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",9,4,3,3,"[4, -2, -1, -1]",-8,0,"['NA', [0, 1], [0, 0], [0, 0]]"
33,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",9,4,3,3,"[0, 4, -2, -2]",-8,0,"[[2, 0], 'NA', [0, 1], [0, 1]]"
34,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",8,3,3,3,"[4, -2, -2]",-8,0,"['NA', [0, 1], [0, 1]]"
35,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",10,5,3,3,"[4, -2, -2, 1, -1]",-8,0,"['NA', [0, 1], 'NA', [2, 0], [0, 0]]"
36,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",9,4,3,3,"[4, -2, -1, -1]",-8,0,"['NA', [0, 1], [0, 0], [0, 0]]"
37,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, -1]",10,3,3,3,"[4, -2, -2]",-8,0,"['NA', [0, 1], [0, 1]]"
