,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, 0]",10,4,2,3,"[0, -4, 0, 3]",-5,0,"['NA', 'NA', [1, 0], [4, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -1, -3, 0]",6,4,3,4,"[0, -4, 6, -3]",-11,0,"[[1, 0], 'NA', 'NA', [0, 2]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, 0]",7,4,2,3,"[0, -4, 3, 0]",-5,0,"[[1, 0], 'NA', [4, 0], [1, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -1, -3, 0]",6,4,0,1,"[0, -2, 0, 1]",1,0,"['NA', [0, 1], 'NA', [2, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, 0]",7,4,0,1,"[0, -2, 0, 1]",1,0,"['NA', [0, 1], [1, 0], [2, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -1, -3, 0]",7,3,0,1,"[0, -2, 1]",1,0,"[[1, 0], [0, 1], [2, 0]]"
6,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, 0]",6,3,0,1,"[0, -2, 1]",1,0,"[[1, 0], [0, 1], [2, 0]]"
7,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -1, -3, 0]",9,6,2,3,"[0, -2, 0, 3, 1, -3]",-5,0,"[[1, 0], [0, 1], [1, 0], [4, 0], [2, 0], [0, 2]]"
8,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, 0]",7,5,2,3,"[0, -2, 0, 3, -2]",-5,0,"[[1, 0], [0, 1], [1, 0], [4, 0], [0, 1]]"
9,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -1, -3, 0]",6,5,2,3,"[1, 0, -2, 3, -3]",-5,0,"[[2, 0], [1, 0], [0, 1], [4, 0], [0, 2]]"
10,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, 0]",6,4,2,3,"[0, -2, 3, -2]",-5,0,"[[1, 0], [0, 1], [4, 0], [0, 1]]"
11,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -1, -3, 0]",7,5,0,1,"[0, -2, 0, 1, 0]",1,0,"[[1, 0], [0, 1], [1, 0], [2, 0], [1, 0]]"
12,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, 0]",7,4,0,1,"[0, -2, 0, 1]",1,0,"[[1, 0], [0, 1], [1, 0], [2, 0]]"
13,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -1, -3, 0]",6,3,0,1,"[0, -2, 1]",1,0,"[[1, 0], [0, 1], [2, 0]]"
14,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, 0]",7,4,0,1,"[1, 0, -2, 0]",1,0,"[[2, 0], [1, 0], [0, 1], [1, 0]]"
15,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -1, -3, 0]",10,4,3,4,"[-2, 6, 1, -6]",-11,0,"[[0, 1], 'NA', [2, 0], 'NA']"
16,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, 0]",7,3,2,3,"[-2, 3, -2]",-5,0,"[[0, 1], [4, 0], [0, 1]]"
