,coeffs,curve-smooth,curve-split-number,splits-reduced,splits-smooth,splits-genera,splits-intersections,splits-classes,split-type,determinant,split-type2
39,"[0, 1, 0, 1, 0, 0, 0]",False,5,"[True, True, True, True, True]","[True, True, True, True, True]","[0, 0, 0, 0, 0]","[[0, 1, 0, 0, 1], [1, -1, 1, 0, 0], [0, 1, -1, 1, 0], [0, 0, 1, -1, 1], [1, 0, 0, 1, -1]]","[[0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",26,0,10
40,"[0, 1, 0, 1, 0, 0, 1]",False,3,"[True, True, True]","[True, True, True]","[0, 0, 0]","[[-1, 1, 1], [1, -1, 1], [1, 1, 2]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 2, 1]]",5,4,3
41,"[0, 1, 0, 1, 0, 1, 0]",False,3,"[True, True, True]","[True, True, True]","[-1, 0, 0]","[[0, 2, 2], [2, -1, 0], [2, 0, -1]]","[[0, 0, 2, 0, 2, 0], [0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0]]",8,8,4
42,"[0, 1, 0, 1, 0, 1, 1]",False,2,"[True, True]","[True, True]","[0, 0]","[[-1, 2], [2, 3]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 2, 1]]",3,-7,2
43,"[0, 1, 0, 1, 1, 0, 0]",False,4,"[True, True, True, True]","[True, True, True, True]","[0, 0, 0, 0]","[[-1, 1, 0, 1], [1, -1, 1, 0], [0, 1, -1, 1], [1, 0, 1, 1]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 1, 1]]",12,-1,5
44,"[0, 1, 0, 1, 1, 0, 1]",False,4,"[True, True, True, True]","[True, True, True, True]","[0, 0, 0, 0]","[[0, 1, 0, 1], [1, -1, 1, 0], [0, 1, -1, 1], [1, 0, 1, 0]]","[[0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 1]]",9,-1,5
45,"[0, 1, 0, 1, 1, 1, 0]",False,2,"[True, True]","[True, True]","[0, 0]","[[-1, 2], [2, 3]]","[[0, 0, 0, 0, 0, 1], [0, 1, 0, 2, 1, 1]]",3,-7,2
46,"[0, 1, 0, 1, 1, 1, 1]",False,2,"[True, True]","[True, True]","[0, 0]","[[-1, 2], [2, 3]]","[[0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 2, 1]]",3,-7,2
47,"[0, 1, 1, 0, 0, 0, 0]",False,3,"[True, True, True]","[True, True, True]","[0, 0, 0]","[[2, 1, 1], [1, -1, 1], [1, 1, -1]]","[[0, 1, 0, 2, 0, 1], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",6,4,3
48,"[0, 1, 1, 0, 0, 0, 1]",True,1,[True],[True],[1],[[6]],"[[0, 0, 1, 1, 2, 2]]",0,6,0
49,"[0, 1, 1, 0, 0, 1, 0]",False,2,"[True, True]","[True, True]","[0, 0]","[[3, 2], [2, -1]]","[[0, 0, 2, 0, 2, 1], [1, 0, 0, 0, 0, 0]]",4,-7,2
50,"[0, 1, 1, 0, 0, 1, 1]",True,1,[True],[True],[1],[[6]],"[[0, 0, 1, 1, 2, 2]]",0,6,0
51,"[0, 1, 1, 0, 1, 0, 0]",False,2,"[True, True]","[True, True]","[0, 0]","[[-1, 2], [2, 3]]","[[0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 1, 2]]",3,-7,2
52,"[0, 1, 1, 0, 1, 0, 1]",True,1,[True],[True],[1],[[6]],"[[0, 0, 1, 1, 2, 2]]",0,6,0
53,"[0, 1, 1, 0, 1, 1, 0]",False,2,"[True, True]","[True, True]","[0, 0]","[[0, 2], [2, 2]]","[[0, 0, 0, 0, 1, 1], [0, 1, 0, 2, 0, 1]]",1,-4,1
54,"[0, 1, 1, 0, 1, 1, 1]",True,1,[True],[True],[1],[[6]],"[[0, 0, 1, 1, 2, 2]]",0,6,0
55,"[0, 1, 1, 1, 0, 0, 0]",False,3,"[True, True, True]","[True, True, True]","[0, 0, 0]","[[2, 1, 1], [1, -1, 1], [1, 1, -1]]","[[0, 0, 1, 1, 1, 1], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",6,4,3
56,"[0, 1, 1, 1, 0, 0, 1]",True,1,[True],[True],[1],[[6]],"[[0, 0, 1, 1, 2, 2]]",0,6,0
57,"[0, 1, 1, 1, 0, 1, 0]",False,2,"[True, True]","[True, True]","[0, 0]","[[3, 2], [2, -1]]","[[0, 0, 2, 0, 2, 1], [1, 0, 0, 0, 0, 0]]",4,-7,2
58,"[0, 1, 1, 1, 0, 1, 1]",True,1,[True],[True],[1],[[6]],"[[0, 0, 1, 1, 2, 2]]",0,6,0
59,"[0, 1, 1, 1, 1, 0, 0]",False,2,"[True, True]","[True, True]","[0, 0]","[[-1, 2], [2, 3]]","[[0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 1, 2]]",3,-7,2
