,coeffs,curve-smooth,curve-split-number,splits-reduced,splits-smooth,splits-genera,splits-intersections,splits-classes,split-type,determinant,split-type2
0,"0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.",False,4,"[False, False, True, False]","[False, False, True, False]","[-5, -5, 0, -2]","[[-9, 9, 3, 0], [9, -9, 0, 6], [3, 0, -1, 0], [0, 6, 0, -4]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 3, 0], [0, 0, 0, 1, 0, 0], [0, 0, 2, 0, 0, 0]]",97,-324,43
1,"0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.",False,4,"[False, False, False, True]","[False, False, False, True]","[-2, -5, -5, 0]","[[-4, 6, 0, 0], [6, -9, 9, 0], [0, 9, -9, 3], [0, 0, 3, -1]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 3, 0], [0, 0, 3, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",98,-324,43
2,"0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,1.",False,4,"[False, False, False, True]","[False, False, False, True]","[-2, -5, -2, 0]","[[-4, 6, 0, 0], [6, -9, 6, 3], [0, 6, -4, 0], [0, 3, 0, 0]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 3, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 0, 1]]",93,-144,39
3,"0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.",False,5,"[False, False, False, True, True]","[False, False, False, True, True]","[-5, -2, -2, 0, 0]","[[-9, 6, 6, 0, 0], [6, -4, 0, 2, 0], [6, 0, -4, 0, 2], [0, 2, 0, -1, 0], [0, 0, 2, 0, -1]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 0, 0, 2, 0, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0]]",162,0,56
4,"0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,1.",False,5,"[False, False, True, True, True]","[False, False, True, True, True]","[-5, -2, 0, 0, 0]","[[-9, 6, 3, 0, 3], [6, -4, 0, 2, 0], [3, 0, -1, 0, 0], [0, 2, 0, -1, 0], [3, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 1, 0]]",147,0,51
5,"0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,1.,0.",False,4,"[False, False, True, True]","[False, False, True, True]","[-2, -2, 0, 0]","[[-4, 4, 0, 2], [4, -4, 2, 2], [0, 2, -1, 0], [2, 2, 0, 2]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 1]]",89,-16,37
6,"0.,0.,0.,0.,0.,0.,0.,0.,0.,1.,1.,1.",False,4,"[False, False, True, True]","[False, False, True, True]","[-2, -2, 0, 0]","[[-4, 4, 0, 2], [4, -4, 2, 2], [0, 2, -1, 0], [2, 2, 0, 2]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 1, 1, 1]]",89,-16,37
7,"0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.",False,6,"[False, False, True, False, True, True]","[False, False, True, False, True, True]","[-2, -2, 0, -2, 0, 0]","[[-4, 4, 2, 0, 0, 0], [4, -4, 0, 4, 0, 0], [2, 0, -1, 0, 1, 0], [0, 4, 0, -4, 0, 2], [0, 0, 1, 0, -1, 1], [0, 0, 0, 2, 1, -1]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 0, 2, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",182,0,63
8,"0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,1.",False,5,"[False, False, True, False, True]","[False, False, True, False, True]","[-2, -2, 0, -2, 0]","[[-4, 4, 2, 0, 0], [4, -4, 0, 4, 0], [2, 0, -1, 0, 1], [0, 4, 0, -4, 2], [0, 0, 1, 2, 0]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 0, 1, 1]]",157,0,54
9,"0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,1.,0.",False,5,"[True, False, False, False, True]","[True, False, False, False, True]","[0, -2, -2, -2, 0]","[[0, 2, 0, 0, 1], [2, -4, 4, 0, 0], [0, 4, -4, 4, 0], [0, 0, 4, -4, 2], [1, 0, 0, 2, -1]]","[[0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 2, 0], [0, 0, 2, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",158,0,55
10,"0.,0.,0.,0.,0.,0.,0.,0.,1.,0.,1.,1.",False,4,"[False, False, False, True]","[False, False, False, True]","[-2, -2, -2, 0]","[[-4, 4, 0, 2], [4, -4, 4, 0], [0, 4, -4, 2], [2, 0, 2, 1]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 2, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 1, 1]]",94,-64,40
11,"0.,0.,0.,0.,0.,0.,0.,0.,1.,1.,0.,0.",False,6,"[False, False, True, True, True, True]","[False, False, True, True, True, True]","[-2, -2, 0, 0, 0, 0]","[[-4, 4, 2, 0, 0, 0], [4, -4, 0, 2, 0, 2], [2, 0, -1, 0, 1, 0], [0, 2, 0, -1, 0, 0], [0, 0, 1, 0, -1, 1], [0, 2, 0, 0, 1, 0]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1]]",176,0,61
12,"0.,0.,0.,0.,0.,0.,0.,0.,1.,1.,0.,1.",False,5,"[False, False, True, True, True]","[False, False, True, True, True]","[-2, -2, 0, 0, 0]","[[-4, 4, 2, 0, 0], [4, -4, 0, 2, 2], [2, 0, -1, 0, 1], [0, 2, 0, -1, 0], [0, 2, 1, 0, 1]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 1, 1]]",148,0,52
13,"0.,0.,0.,0.,0.,0.,0.,0.,1.,1.,1.,0.",False,4,"[False, False, True, True]","[False, False, True, True]","[-2, -2, 0, 0]","[[-4, 4, 0, 2], [4, -4, 2, 2], [0, 2, -1, 0], [2, 2, 0, 2]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 1]]",89,-16,37
14,"0.,0.,0.,0.,0.,0.,0.,0.,1.,1.,1.,1.",False,5,"[True, False, False, True, True]","[True, False, False, True, True]","[0, -2, -2, 0, 0]","[[0, 2, 0, 0, 1], [2, -4, 4, 0, 0], [0, 4, -4, 2, 2], [0, 0, 2, -1, 0], [1, 0, 2, 0, 0]]","[[0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 1]]",142,0,50
15,"0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.",False,5,"[True, False, False, True, False]","[True, False, False, True, False]","[0, -2, -5, 0, -2]","[[-1, 2, 0, 0, 0], [2, -4, 6, 0, 0], [0, 6, -9, 0, 6], [0, 0, 0, -1, 2], [0, 0, 6, 2, -4]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 3, 0, 0, 0], [0, 1, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]",163,0,57
16,"0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,1.",False,4,"[True, False, False, True]","[True, False, False, True]","[0, -2, -2, 0]","[[-1, 2, 0, 0], [2, -4, 4, 2], [0, 4, -4, 2], [0, 2, 2, 2]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 1, 2]]",90,-16,38
17,"0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,1.,0.",False,5,"[True, True, False, False, True]","[True, True, False, False, True]","[0, 0, -2, -5, 0]","[[0, 0, 0, 3, 0], [0, -1, 2, 0, 0], [0, 2, -4, 6, 0], [3, 0, 6, -9, 3], [0, 0, 0, 3, -1]]","[[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 3, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",149,0,53
18,"0.,0.,0.,0.,0.,0.,0.,1.,0.,0.,1.,1.",False,4,"[True, False, False, True]","[True, False, False, True]","[0, -2, -2, 0]","[[-1, 2, 0, 0], [2, -4, 4, 2], [0, 4, -4, 2], [0, 2, 2, 2]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 1, 2]]",90,-16,38
19,"0.,0.,0.,0.,0.,0.,0.,1.,0.,1.,0.,0.",False,5,"[True, False, True, True, True]","[True, False, True, True, True]","[0, -2, 0, 0, -1]","[[-1, 2, 0, 0, 0], [2, -4, 2, 0, 4], [0, 2, -1, 0, 0], [0, 0, 0, -1, 2], [0, 4, 0, 2, 0]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 0, 2]]",134,0,49
20,"0.,0.,0.,0.,0.,0.,0.,1.,0.,1.,0.,1.",False,4,"[True, False, True, True]","[True, False, True, True]","[0, -2, 0, 0]","[[-1, 2, 0, 0], [2, -4, 2, 4], [0, 2, -1, 0], [0, 4, 0, 3]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 1, 1, 2]]",71,-4,29
21,"0.,0.,0.,0.,0.,0.,0.,1.,0.,1.,1.,0.",False,4,"[True, False, True, True]","[True, False, True, True]","[0, -2, 0, 0]","[[-1, 2, 0, 0], [2, -4, 2, 4], [0, 2, -1, 0], [0, 4, 0, 3]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 2]]",71,-4,29
22,"0.,0.,0.,0.,0.,0.,0.,1.,0.,1.,1.,1.",False,4,"[True, False, True, True]","[True, False, True, True]","[0, -2, 0, 0]","[[-1, 2, 0, 0], [2, -4, 2, 4], [0, 2, -1, 0], [0, 4, 0, 3]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 1, 1, 2]]",71,-4,29
23,"0.,0.,0.,0.,0.,0.,0.,1.,1.,0.,0.,0.",False,6,"[True, True, False, False, True, True]","[True, True, False, False, True, True]","[0, 0, -2, -2, 0, 0]","[[0, 0, 2, 0, 1, 0], [0, -1, 2, 0, 0, 0], [2, 2, -4, 4, 0, 0], [0, 0, 4, -4, 0, 2], [1, 0, 0, 0, -1, 1], [0, 0, 0, 2, 1, -1]]","[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 2, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",177,0,62
24,"0.,0.,0.,0.,0.,0.,0.,1.,1.,0.,0.,1.",False,4,"[True, False, False, True]","[True, False, False, True]","[0, -2, -2, 0]","[[-1, 2, 0, 0], [2, -4, 4, 2], [0, 4, -4, 2], [0, 2, 2, 2]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 1, 2]]",90,-16,38
25,"0.,0.,0.,0.,0.,0.,0.,1.,1.,0.,1.,0.",False,5,"[True, True, False, False, True]","[True, True, False, False, True]","[0, 0, -2, -2, 0]","[[1, 0, 2, 0, 1], [0, -1, 2, 0, 0], [2, 2, -4, 4, 0], [0, 0, 4, -4, 2], [1, 0, 0, 2, -1]]","[[0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 2, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",150,0,50
26,"0.,0.,0.,0.,0.,0.,0.,1.,1.,0.,1.,1.",False,5,"[True, True, True, False, False]","[True, True, True, False, False]","[0, 0, 0, -2, -2]","[[0, 1, 0, 0, 2], [1, 0, 0, 2, 0], [0, 0, -1, 2, 0], [0, 2, 2, -4, 4], [2, 0, 0, 4, -4]]","[[0, 0, 0, 0, 1, 1], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 2, 0, 0, 0]]",143,0,50
27,"0.,0.,0.,0.,0.,0.,0.,1.,1.,1.,0.,0.",False,5,"[True, False, True, True, True]","[True, False, True, True, True]","[0, -2, 0, 0, -1]","[[-1, 2, 0, 0, 0], [2, -4, 2, 0, 4], [0, 2, -1, 0, 0], [0, 0, 0, -1, 2], [0, 4, 0, 2, 0]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 0, 2]]",134,0,49
28,"0.,0.,0.,0.,0.,0.,0.,1.,1.,1.,0.,1.",False,4,"[True, False, True, True]","[True, False, True, True]","[0, -2, 0, 0]","[[-1, 2, 0, 0], [2, -4, 2, 4], [0, 2, -1, 0], [0, 4, 0, 3]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 1, 1, 2]]",71,-4,29
29,"0.,0.,0.,0.,0.,0.,0.,1.,1.,1.,1.,0.",False,4,"[True, False, True, True]","[True, False, True, True]","[0, -2, 0, 0]","[[-1, 2, 0, 0], [2, -4, 2, 4], [0, 2, -1, 0], [0, 4, 0, 3]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 2, 0, 2]]",71,-4,29
30,"0.,0.,0.,0.,0.,0.,0.,1.,1.,1.,1.,1.",False,4,"[True, False, True, True]","[True, False, True, True]","[0, -2, 0, 0]","[[-1, 2, 0, 0], [2, -4, 2, 4], [0, 2, -1, 0], [0, 4, 0, 3]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 1, 1, 2]]",71,-4,29
31,"0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.",False,4,"[False, True, False, False]","[False, True, False, False]","[-5, 0, -5, -2]","[[-9, 3, 9, 0], [3, -1, 0, 0], [9, 0, -9, 6], [0, 0, 6, -4]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 1, 0], [0, 0, 0, 3, 0, 0], [0, 2, 0, 0, 0, 0]]",99,-324,43
32,"0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,0.,1.",False,4,"[False, True, True, True]","[False, True, True, True]","[-5, 0, 0, -1]","[[-9, 3, 3, 6], [3, -1, 0, 0], [3, 0, -1, 0], [6, 0, 0, 0]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0], [0, 0, 2, 0, 2, 0]]",87,-36,35
33,"0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,1.,0.",False,3,"[False, True, True]","[False, True, True]","[-2, 0, 0]","[[-4, 2, 4], [2, -1, 1], [4, 1, 4]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 2, 0, 3, 0, 1]]",28,36,17
34,"0.,0.,0.,0.,0.,0.,1.,0.,0.,0.,1.,1.",False,3,"[False, True, True]","[False, True, True]","[-2, 0, 0]","[[-4, 2, 4], [2, -1, 1], [4, 1, 4]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 0, 2, 1, 2, 1]]",28,36,17
35,"0.,0.,0.,0.,0.,0.,1.,0.,0.,1.,0.,0.",False,5,"[True, False, True, False, True]","[True, False, True, False, True]","[0, -5, 0, -2, 0]","[[0, 3, 0, 0, 0], [3, -9, 3, 6, 0], [0, 3, -1, 0, 0], [0, 6, 0, -4, 2], [0, 0, 0, 2, -1]]","[[0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 1, 0], [0, 0, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0]]",151,0,53
36,"0.,0.,0.,0.,0.,0.,1.,0.,0.,1.,0.,1.",False,4,"[False, True, True, True]","[False, True, True, True]","[-5, 0, 0, -1]","[[-9, 3, 3, 6], [3, -1, 0, 0], [3, 0, -1, 0], [6, 0, 0, 0]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0], [0, 0, 2, 0, 2, 0]]",87,-36,35
37,"0.,0.,0.,0.,0.,0.,1.,0.,0.,1.,1.,0.",False,3,"[False, True, True]","[False, True, True]","[-2, 0, 0]","[[-4, 2, 4], [2, -1, 1], [4, 1, 4]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 1, 1, 2, 1, 1]]",28,36,17
38,"0.,0.,0.,0.,0.,0.,1.,0.,0.,1.,1.,1.",False,3,"[False, True, True]","[False, True, True]","[-2, 0, 0]","[[-4, 2, 4], [2, -1, 1], [4, 1, 4]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 0, 2, 1, 2, 1]]",28,36,17
39,"0.,0.,0.,0.,0.,0.,1.,0.,1.,0.,0.,0.",False,5,"[False, True, True, True, True]","[False, True, True, True, True]","[-2, 0, 0, 0, 0]","[[-4, 2, 2, 0, 2], [2, -1, 0, 0, 1], [2, 0, -1, 1, 0], [0, 0, 1, -1, 1], [2, 1, 0, 1, 2]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 2, 0, 1]]",129,0,47
40,"0.,0.,0.,0.,0.,0.,1.,0.,1.,0.,0.,1.",False,4,"[False, True, True, True]","[False, True, True, True]","[-2, 0, 0, 0]","[[-4, 2, 2, 2], [2, -1, 0, 1], [2, 0, -1, 1], [2, 1, 1, 3]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0], [0, 0, 2, 0, 2, 1]]",72,-16,30
41,"0.,0.,0.,0.,0.,0.,1.,0.,1.,0.,1.,0.",False,3,"[False, True, True]","[False, True, True]","[-2, 0, 0]","[[-4, 2, 4], [2, -1, 1], [4, 1, 4]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 2, 0, 3, 0, 1]]",28,36,17
42,"0.,0.,0.,0.,0.,0.,1.,0.,1.,0.,1.,1.",False,3,"[False, True, True]","[False, True, True]","[-2, 0, 0]","[[-4, 2, 4], [2, -1, 1], [4, 1, 4]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 0, 2, 1, 2, 1]]",28,36,17
43,"0.,0.,0.,0.,0.,0.,1.,0.,1.,1.,0.,0.",False,5,"[False, True, True, True, True]","[False, True, True, True, True]","[-2, 0, 0, 0, 0]","[[-4, 2, 2, 0, 2], [2, -1, 0, 0, 1], [2, 0, -1, 1, 0], [0, 0, 1, -1, 1], [2, 1, 0, 1, 2]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 1, 1, 1]]",129,0,47
44,"0.,0.,0.,0.,0.,0.,1.,0.,1.,1.,0.,1.",False,4,"[False, True, True, True]","[False, True, True, True]","[-2, 0, 0, 0]","[[-4, 2, 2, 2], [2, -1, 0, 1], [2, 0, -1, 1], [2, 1, 1, 3]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0], [0, 0, 2, 0, 2, 1]]",72,-16,30
45,"0.,0.,0.,0.,0.,0.,1.,0.,1.,1.,1.,0.",False,4,"[True, False, True, True]","[True, False, True, True]","[0, -2, 0, 0]","[[0, 2, 0, 1], [2, -4, 2, 2], [0, 2, -1, 1], [1, 2, 1, 2]]","[[0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 1, 0, 2, 0, 1]]",66,-4,29
46,"0.,0.,0.,0.,0.,0.,1.,0.,1.,1.,1.,1.",False,3,"[False, True, True]","[False, True, True]","[-2, 0, 0]","[[-4, 2, 4], [2, -1, 1], [4, 1, 4]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 1, 0], [0, 0, 2, 1, 2, 1]]",28,36,17
47,"0.,0.,0.,0.,0.,0.,1.,1.,0.,0.,0.,0.",False,4,"[True, True, True, True]","[True, True, True, True]","[0, 0, 0, 0]","[[-1, 1, 0, 1], [1, -1, 0, 2], [0, 0, -1, 2], [1, 2, 2, 4]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 0], [0, 1, 0, 3, 0, 2]]",55,-9,25
48,"0.,0.,0.,0.,0.,0.,1.,1.,0.,0.,0.,1.",False,3,"[True, True, True]","[True, True, True]","[0, 0, 1]","[[-1, 1, 1], [1, -1, 2], [1, 2, 7]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0], [0, 0, 2, 1, 2, 2]]",17,9,12
49,"0.,0.,0.,0.,0.,0.,1.,1.,0.,0.,1.,0.",False,3,"[True, True, True]","[True, True, True]","[0, 0, 1]","[[-1, 1, 1], [1, -1, 2], [1, 2, 7]]","[[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0], [0, 2, 0, 3, 0, 2]]",17,9,12
