,coeffs,curve-smooth,curve-split-number,splits-reduced,splits-smooth,splits-genera,splits-intersections,splits-classes,split-type,determinant,split-type2
0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",False,4,"[False, False, False, True]","[False, False, False, True]","[-9, -5, -2, 0]","[[-16, 12, 8, 0], [12, -9, 0, 3], [8, 0, -4, 0], [0, 3, 0, -1]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 3, 0], [0, 0, 0, 2, 0, 0], [0, 0, 1, 0, 0, 0]]",156,-576,79
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",False,5,"[False, False, True, False, True]","[False, False, True, False, True]","[-5, -5, 0, -2, 0]","[[-9, 9, 3, 0, 0], [9, -9, 0, 6, 0], [3, 0, -1, 0, 0], [0, 6, 0, -4, 2], [0, 0, 0, 2, -1]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 3, 0], [0, 0, 0, 1, 0, 0], [0, 0, 2, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",276,0,100
2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",False,5,"[False, False, True, True, True]","[False, False, True, True, True]","[-5, -5, 0, 0, 0]","[[-9, 9, 3, 0, 0], [9, -9, 0, 3, 3], [3, 0, -1, 0, 0], [0, 3, 0, -1, 0], [0, 3, 0, 0, 0]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 3, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 1]]",248,0,90
3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",False,4,"[False, False, False, False]","[False, False, False, False]","[-2, -5, -5, -2]","[[-4, 6, 0, 0], [6, -9, 9, 0], [0, 9, -9, 6], [0, 0, 6, -4]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 3, 0], [0, 0, 3, 0, 0, 0], [2, 0, 0, 0, 0, 0]]",157,-1296,80
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",False,4,"[False, False, True, True]","[False, False, True, True]","[-2, -5, 0, -1]","[[-4, 6, 0, 0], [6, -9, 3, 6], [0, 3, -1, 0], [0, 6, 0, 0]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 3, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 2]]",150,-144,73
5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",False,5,"[True, False, False, False, True]","[True, False, False, False, True]","[0, -2, -5, -2, 0]","[[0, 0, 3, 0, 0], [0, -4, 6, 0, 0], [3, 6, -9, 6, 0], [0, 0, 6, -4, 2], [0, 0, 0, 2, -1]]","[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 3, 0], [0, 0, 2, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",268,0,97
6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",False,4,"[False, False, True, True]","[False, False, True, True]","[-2, -5, 0, -1]","[[-4, 6, 0, 0], [6, -9, 3, 6], [0, 3, -1, 0], [0, 6, 0, 0]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 3, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 2]]",150,-144,73
7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",False,4,"[False, False, False, True]","[False, False, False, True]","[-9, -2, -5, 0]","[[-16, 8, 12, 0], [8, -4, 0, 0], [12, 0, -9, 3], [0, 0, 3, -1]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 0, 0, 3, 0, 0], [0, 1, 0, 0, 0, 0]]",158,-576,79
8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",False,4,"[False, False, False, True]","[False, False, False, True]","[-9, -2, -2, 0]","[[-16, 8, 8, 4], [8, -4, 0, 0], [8, 0, -4, 0], [4, 0, 0, 0]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 0, 0, 2, 0, 0], [0, 0, 1, 0, 1, 0]]",154,-256,77
9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",False,4,"[False, False, True, True]","[False, False, True, True]","[-5, -2, 0, 0]","[[-9, 6, 3, 3], [6, -4, 0, 2], [3, 0, -1, 0], [3, 2, 0, 2]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 1, 0, 2, 0, 1]]",135,-36,66
