,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",45,4,11,18,"[15, -24, -1, 4]",-196,0,"['NA', 'NA', [0, 0], [5, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",43,4,11,18,"[10, -24, 8, 0]",-196,0,"['NA', 'NA', 'NA', [1, 0]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",46,4,11,18,"[10, -24, 4, 4]",-196,0,"['NA', 'NA', [5, 0], [5, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",45,4,9,16,"[15, -16, -2, -3]",-142,0,"['NA', 'NA', 'NA', [0, 2]]"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",46,4,9,16,"[15, -16, -1, -4]",-142,0,"['NA', 'NA', [0, 0], [0, 3]]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",45,3,7,14,"[10, -16, 0]",-96,0,"['NA', 'NA', [1, 0]]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",53,3,7,14,"[10, -16, 0]",-96,0,"['NA', 'NA', [1, 0]]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",45,6,9,16,"[10, -16, -1, 4, -3, 0]",-142,0,"['NA', 'NA', [0, 0], [5, 0], [0, 2], [1, 0]]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",46,5,9,16,"[10, -16, -1, 4, -3]",-142,0,"['NA', 'NA', [0, 0], [5, 0], [0, 2]]"
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",46,5,9,16,"[-4, 10, -16, 4, 0]",-142,0,"[[0, 3], 'NA', 'NA', [5, 0], [1, 0]]"
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",51,4,9,16,"[10, -16, 4, -4]",-142,0,"['NA', 'NA', [5, 0], [0, 3]]"
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",46,5,9,16,"[10, -16, -1, -3, 4]",-142,0,"['NA', 'NA', [0, 0], [0, 2], [5, 0]]"
12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",52,4,7,14,"[10, -16, -1, 1]",-96,0,"['NA', 'NA', [0, 0], [2, 0]]"
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",51,3,7,14,"[10, -16, 0]",-96,0,"['NA', 'NA', [1, 0]]"
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",52,4,9,16,"[-4, 10, -16, 4]",-142,0,"[[0, 3], 'NA', 'NA', [5, 0]]"
15,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",45,5,8,15,"[5, -16, 8, -3, 0]",-118,0,"[[6, 0], 'NA', 'NA', [0, 2], 'NA']"
16,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",45,4,6,13,"[5, -16, 4, 1]",-76,0,"[[6, 0], 'NA', [5, 0], [2, 0]]"
17,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",47,5,8,15,"[-3, 5, -16, 8, 0]",-118,0,"[[0, 2], [6, 0], 'NA', 'NA', [1, 0]]"
18,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",49,4,6,13,"[5, -16, 4, 1]",-76,0,"[[6, 0], 'NA', [5, 0], [2, 0]]"
19,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",46,4,8,15,"[5, -16, -3, 8]",-118,0,"[[6, 0], 'NA', [0, 2], [10, 0]]"
20,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",49,3,6,13,"[5, -16, 5]",-76,0,"[[6, 0], 'NA', [6, 0]]"
21,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",51,3,6,13,"[5, -16, 5]",-76,0,"[[6, 0], 'NA', [6, 0]]"
22,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",58,3,6,13,"[5, -16, 5]",-76,0,"[[6, 0], 'NA', [6, 0]]"
23,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",47,6,8,15,"[4, 5, -16, 4, -3, 0]",-118,0,"[[5, 0], [6, 0], 'NA', [5, 0], [0, 2], [1, 0]]"
24,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",49,4,6,13,"[5, -16, 4, 1]",-76,0,"[[6, 0], 'NA', [5, 0], [2, 0]]"
25,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",52,5,6,13,"[1, 5, -16, 4, 0]",-76,0,"[[2, 0], [6, 0], 'NA', [5, 0], [1, 0]]"
26,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",52,5,8,15,"[-3, 4, 5, -16, 4]",-118,0,"[[0, 2], [5, 0], [6, 0], 'NA', [5, 0]]"
27,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",47,4,8,15,"[5, -16, -3, 8]",-118,0,"[[6, 0], 'NA', [0, 2], [10, 0]]"
28,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[1, 3, -4, -5]",54,3,6,13,"[5, -16, 5]",-76,0,"[[6, 0], 'NA', [6, 0]]"
