,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
117,"[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",17,1,0,6,[-6],1,1,"[[0, 6]]"
118,"[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",17,1,0,6,[-6],1,1,"[[0, 6]]"
119,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",15,4,2,8,"[-1, -2, 3, -6]",-15,0,"[[0, 0], [0, 1], [4, 0], [0, 5]]"
120,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",16,1,0,6,[-6],1,1,"[[0, 6]]"
121,"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",15,2,0,6,"[0, -6]",1,0,"[[1, 0], [0, 5]]"
122,"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",14,2,0,6,"[-4, -2]",1,0,"[[0, 3], [0, 1]]"
123,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",15,2,2,8,"[3, -9]",-15,0,"[[4, 0], [0, 8]]"
124,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",15,2,0,6,"[-1, -5]",1,0,"[[0, 0], [0, 4]]"
125,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",14,2,0,6,"[-3, -3]",1,0,"[[0, 2], [0, 2]]"
126,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",13,1,0,6,[-6],1,1,"[[0, 6]]"
