,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -1, -4, -1]",13,4,3,6,"[2, -8, -1, 4]",-17,0,"['NA', 'NA', [0, 0], [5, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -1, -4, -1]",10,4,5,8,"[1, -8, 8, -4]",-39,0,"[[2, 0], 'NA', 'NA', [0, 3]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -1, -4, -1]",8,4,3,6,"[1, -8, 4, 0]",-17,0,"[[2, 0], 'NA', [5, 0], [1, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -1, -4, -1]",7,4,0,3,"[2, -4, -2, 1]",1,0,"['NA', [0, 3], 'NA', [2, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -1, -4, -1]",9,4,0,3,"[2, -4, -1, 0]",1,0,"['NA', [0, 3], [0, 0], [1, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -1, -4, -1]",8,3,0,3,"[1, -4, 0]",1,0,"[[2, 0], [0, 3], [1, 0]]"
6,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -1, -4, -1]",11,3,0,3,"[1, -4, 0]",1,0,"[[2, 0], [0, 3], [1, 0]]"
7,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -1, -4, -1]",15,6,3,6,"[1, -4, -1, 4, 1, -4]",-17,0,"[[2, 0], [0, 3], [0, 0], [5, 0], [2, 0], [0, 3]]"
8,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -1, -4, -1]",11,5,3,6,"[1, -4, -1, 4, -3]",-17,0,"[[2, 0], [0, 3], [0, 0], [5, 0], [0, 2]]"
9,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -1, -4, -1]",7,5,3,6,"[0, 1, -4, 4, -4]",-17,0,"[[1, 0], [2, 0], [0, 3], [5, 0], [0, 3]]"
10,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -1, -4, -1]",8,4,3,6,"[1, -4, 4, -4]",-17,0,"[[2, 0], [0, 3], [5, 0], [0, 3]]"
11,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -1, -4, -1]",8,5,0,3,"[1, -4, -1, 1, 0]",1,0,"[[2, 0], [0, 3], [0, 0], [2, 0], [1, 0]]"
12,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -1, -4, -1]",11,4,0,3,"[1, -4, -1, 1]",1,0,"[[2, 0], [0, 3], [0, 0], [2, 0]]"
13,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -1, -4, -1]",8,3,0,3,"[1, -4, 0]",1,0,"[[2, 0], [0, 3], [1, 0]]"
14,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -1, -4, -1]",7,4,0,3,"[0, 1, -4, 0]",1,0,"[[1, 0], [2, 0], [0, 3], [1, 0]]"
