,coeffs,curve-smooth,curve-split-number,splits-reduced,splits-smooth,splits-genera,splits-intersections,splits-classes,split-type,determinant,split-type2
1044,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",False,1,[True],[False],[2],[[11]],"[[0, 0, 1, 1, 3, 4]]",1,11,1
1045,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]",False,1,[True],[False],[2],[[11]],"[[0, 1, 0, 2, 2, 4]]",1,11,1
1046,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1]",False,1,[True],[False],[2],[[11]],"[[0, 0, 1, 1, 3, 4]]",1,11,1
1047,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",False,4,"[True, True, True, True]","[True, True, True, True]","[0, 0, 0, 0]","[[4, 2, 1, 0], [2, -1, 0, 1], [1, 0, -1, 1], [0, 1, 1, -1]]","[[0, 0, 0, 1, 2, 3], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",81,0,39
1048,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1]",False,2,"[True, True]","[True, True]","[0, 0]","[[-1, 3], [3, 6]]","[[0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 3, 4]]",6,-15,6
1049,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",False,3,"[True, True, True]","[True, True, True]","[0, 0, 0]","[[5, 2, 1], [2, -1, 1], [1, 1, -1]]","[[0, 0, 1, 0, 3, 3], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",32,9,16
1050,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]",False,2,"[True, True]","[True, True]","[0, 0]","[[-1, 3], [3, 6]]","[[0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 3, 4]]",6,-15,6
1051,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",False,2,"[True, True]","[True, False]","[0, 1]","[[-1, 2], [2, 8]]","[[0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 2, 4]]",12,-12,10
1052,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",False,1,[True],[False],[2],[[11]],"[[0, 0, 1, 1, 3, 4]]",1,11,1
1053,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",False,1,[True],[False],[2],[[11]],"[[0, 1, 0, 2, 2, 4]]",1,11,1
1054,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",False,1,[True],[False],[2],[[11]],"[[0, 0, 1, 1, 3, 4]]",1,11,1
1055,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",False,3,"[True, False, True]","[True, False, True]","[0, -2, 0]","[[4, 4, 0], [4, -4, 2], [0, 2, -1]]","[[0, 0, 0, 2, 1, 3], [0, 2, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",47,16,24
1056,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",True,1,[True],[True],[2],[[11]],"[[0, 0, 1, 1, 3, 4]]",0,11,0
1057,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",False,2,"[True, True]","[True, True]","[1, 0]","[[8, 2], [2, -1]]","[[0, 0, 2, 0, 3, 3], [1, 0, 0, 0, 0, 0]]",7,-12,7
1058,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]",True,1,[True],[True],[2],[[11]],"[[0, 0, 1, 1, 3, 4]]",0,11,0
1059,"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",False,2,"[True, True]","[True, False]","[0, 1]","[[-1, 2], [2, 8]]","[[0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 2, 4]]",12,-12,10
1060,"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1]",True,1,[True],[True],[2],[[11]],"[[0, 0, 1, 1, 3, 4]]",0,11,0
1061,"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",False,2,"[True, True]","[True, True]","[1, 0]","[[7, 2], [2, 0]]","[[0, 1, 0, 2, 1, 3], [0, 0, 0, 0, 1, 1]]",2,-4,2
1062,"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1]",True,1,[True],[True],[2],[[11]],"[[0, 0, 1, 1, 3, 4]]",0,11,0
1063,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",False,3,"[True, True, True]","[True, True, True]","[1, 0, 0]","[[7, 1, 1], [1, -1, 1], [1, 1, -1]]","[[0, 0, 1, 1, 2, 3], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",33,4,13
1064,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]",True,1,[True],[True],[2],[[11]],"[[0, 0, 1, 1, 3, 4]]",0,11,0
1065,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0]",False,2,"[True, True]","[True, True]","[1, 0]","[[8, 2], [2, -1]]","[[0, 0, 2, 0, 3, 3], [1, 0, 0, 0, 0, 0]]",7,-12,7
1066,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]",True,1,[True],[True],[2],[[11]],"[[0, 0, 1, 1, 3, 4]]",0,11,0
1067,"[1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",False,2,"[True, True]","[True, True]","[0, 1]","[[-1, 2], [2, 8]]","[[0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 2, 4]]",8,-12,7
