,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",10,4,3,7,"[4, -8, -3, 3]",-20,0,"['NA', 'NA', [0, 2], [4, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",7,4,4,8,"[2, -8, 6, -4]",-31,0,"[[3, 0], 'NA', 'NA', [0, 3]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",7,4,3,7,"[2, -8, 3, -1]",-20,0,"[[3, 0], 'NA', [4, 0], [0, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",7,4,2,6,"[4, -4, -6, 2]",-11,0,"['NA', [0, 3], 'NA', [3, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",8,4,1,5,"[4, -4, -3, -1]",-4,0,"['NA', [0, 3], [0, 2], [0, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",7,3,1,5,"[2, -4, -2]",-4,0,"[[3, 0], [0, 3], [0, 1]]"
6,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",8,3,1,5,"[2, -4, -2]",-4,0,"[[3, 0], [0, 3], [0, 1]]"
7,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",10,6,4,8,"[2, -4, -3, 3, 2, -4]",-31,0,"[[3, 0], [0, 3], [0, 2], [4, 0], [3, 0], [0, 3]]"
8,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",7,5,3,7,"[2, -4, -3, 3, -2]",-20,0,"[[3, 0], [0, 3], [0, 2], [4, 0], [0, 1]]"
9,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",7,5,3,7,"[-1, 2, -4, 3, -4]",-20,0,"[[0, 0], [3, 0], [0, 3], [4, 0], [0, 3]]"
10,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",8,4,3,7,"[2, -4, 3, -5]",-20,0,"[[3, 0], [0, 3], [4, 0], [0, 4]]"
11,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",7,5,2,6,"[2, -4, -3, 2, -1]",-11,0,"[[3, 0], [0, 3], [0, 2], [3, 0], [0, 0]]"
12,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",7,4,1,5,"[2, -4, -3, 1]",-4,0,"[[3, 0], [0, 3], [0, 2], [2, 0]]"
13,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",8,3,1,5,"[2, -4, -2]",-4,0,"[[3, 0], [0, 3], [0, 1]]"
14,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",8,4,1,5,"[-1, 2, -4, -1]",-4,0,"[[0, 0], [3, 0], [0, 3], [0, 0]]"
15,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",10,4,4,8,"[-4, 6, 2, -8]",-31,0,"[[0, 3], 'NA', [3, 0], 'NA']"
16,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",7,3,2,6,"[-4, 3, -3]",-11,0,"[[0, 3], [4, 0], [0, 2]]"
17,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",7,4,3,7,"[-2, -4, 6, -4]",-20,0,"[[0, 1], [0, 3], 'NA', [0, 3]]"
18,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",8,3,2,6,"[-4, 3, -3]",-11,0,"[[0, 3], [4, 0], [0, 2]]"
19,"[0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",7,3,1,5,"[-4, 2, -2]",-4,0,"[[0, 3], [3, 0], [0, 0]]"
20,"[0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",7,2,0,4,"[-4, 0]",1,0,"[[0, 3], [1, 0]]"
21,"[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",8,2,0,4,"[-4, 0]",1,0,"[[0, 3], [1, 0]]"
22,"[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",7,2,0,4,"[-4, 0]",1,0,"[[0, 3], [1, 0]]"
23,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",10,5,3,7,"[-1, -4, 3, 2, -4]",-20,0,"[[0, 0], [0, 3], [4, 0], [3, 0], [0, 3]]"
24,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",8,3,2,6,"[-4, 3, -3]",-11,0,"[[0, 3], [4, 0], [0, 2]]"
25,"[0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",7,4,2,6,"[1, -4, 3, -4]",-11,0,"[[2, 0], [0, 3], [4, 0], [0, 3]]"
26,"[0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",7,4,2,6,"[-2, -1, -4, 3]",-11,0,"[[0, 1], [0, 0], [0, 3], [4, 0]]"
27,"[0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",7,3,1,5,"[-4, 2, -2]",-4,0,"[[0, 3], [3, 0], [0, 0]]"
28,"[0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",8,2,0,4,"[-4, 0]",1,0,"[[0, 3], [1, 0]]"
29,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",7,2,0,4,"[-4, 0]",1,0,"[[0, 3], [1, 0]]"
30,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",8,2,0,4,"[-4, 0]",1,0,"[[0, 3], [1, 0]]"
31,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -2, -3, -2]",10,4,2,6,"[2, -6, 4, -4]",-11,0,"[[3, 0], 'NA', 'NA', [0, 3]]"
