,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,curve-smooth,curve-split-number,splits-reduced,splits-smooth,splits-genera,splits-intersections,splits-classes,split-type,determinant,split-type2,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",4,4,2,6,"[-20, 12, 3, 1]",-11,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-14, -5, 0, 0]","[[-25, 15, 5, 0], [15, -9, 0, 3], [5, 0, -1, 0], [0, 3, 0, -1]]","[[0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 3, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0]]",105,-225,0,"['NA', 'NA', [4, 0], [2, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,4,3,7,"[-16, 12, 2, -2]",-20,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-9, -5, -2, 0]","[[-16, 12, 0, 0], [12, -9, 6, 0], [0, 6, -4, 2], [0, 0, 2, -1]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 3, 0], [0, 0, 2, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",106,-576,1,"['NA', 'NA', 'NA', [0, 1]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,4,2,6,"[-16, 12, 1, -1]",-11,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-9, -5, 0, 0]","[[-16, 12, 0, 0], [12, -9, 3, 3], [0, 3, -1, 0], [0, 3, 0, 0]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 3, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 1]]",102,-144,2,"['NA', 'NA', [2, 0], [0, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",4,4,2,6,"[-20, 8, 6, 2]",-11,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-14, -2, -2, 0]","[[-25, 10, 10, 0], [10, -4, 0, 0], [10, 0, -4, 2], [0, 0, 2, -1]]","[[0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 2, 0], [0, 0, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0]]",108,-400,3,"['NA', 'NA', 'NA', [3, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,4,2,6,"[-20, 8, 3, 5]",-11,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-14, -2, 0, 0]","[[-25, 10, 5, 5], [10, -4, 0, 0], [5, 0, -1, 0], [5, 0, 0, 0]]","[[0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 1, 0]]",104,-100,4,"['NA', 'NA', [4, 0], [6, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,3,2,6,"[-16, 8, 4]",-11,0,False,3,"[True, True, True]","[True, True, True]","[-9, -2, 0]","[[-16, 8, 4], [8, -4, 2], [4, 2, 2]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 1, 0, 2, 0, 1]]",35,256,5,"['NA', 'NA', [5, 0]]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,3,2,6,"[-16, 8, 4]",-11,0,False,3,"[True, True, True]","[True, True, True]","[-9, -2, 0]","[[-16, 8, 4], [8, -4, 2], [4, 2, 2]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 0, 1, 1, 1, 1]]",35,256,5,"['NA', 'NA', [5, 0]]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,6,3,7,"[-16, 8, 3, 1, 2, -2]",-20,0,False,6,"[True, True, True, True, True, True]","[True, True, True, True, True, True]","[-9, -2, 0, 0, 0, 0]","[[-16, 8, 4, 0, 0, 0], [8, -4, 0, 2, 0, 0], [4, 0, -1, 0, 1, 0], [0, 2, 0, -1, 0, 1], [0, 0, 1, 0, -1, 1], [0, 0, 0, 1, 1, -1]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",197,0,6,"['NA', 'NA', [4, 0], [2, 0], [3, 0], [0, 1]]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,5,2,6,"[-16, 8, 3, 1, 0]",-11,0,False,5,"[True, True, True, True, True]","[True, True, True, True, True]","[-9, -2, 0, 0, 0]","[[-16, 8, 4, 0, 0], [8, -4, 0, 2, 0], [4, 0, -1, 0, 1], [0, 2, 0, -1, 1], [0, 0, 1, 1, 0]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 1, 1]]",157,0,7,"['NA', 'NA', [4, 0], [2, 0], [1, 0]]"
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,5,3,7,"[5, -16, 8, 1, -2]",-20,0,False,5,"[True, True, True, True, True]","[True, True, True, True, True]","[0, -9, -2, 0, 0]","[[0, 4, 0, 0, 1], [4, -16, 8, 0, 0], [0, 8, -4, 2, 0], [0, 0, 2, -1, 1], [1, 0, 0, 1, -1]]","[[0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",158,0,7,"[[6, 0], 'NA', 'NA', [2, 0], [0, 1]]"
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,4,2,6,"[-16, 8, 1, 3]",-11,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-9, -2, 0, 0]","[[-16, 8, 0, 4], [8, -4, 2, 0], [0, 2, -1, 1], [4, 0, 1, 1]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 1, 1]]",94,-64,8,"['NA', 'NA', [2, 0], [4, 0]]"
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,5,2,6,"[-16, 8, 3, 2, -1]",-11,0,False,5,"[True, True, True, True, True]","[True, True, True, True, True]","[-9, -2, 0, 0, 0]","[[-16, 8, 4, 0, 0], [8, -4, 0, 0, 2], [4, 0, -1, 1, 0], [0, 0, 1, -1, 1], [0, 2, 0, 1, 0]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1]]",159,0,7,"['NA', 'NA', [4, 0], [3, 0], [0, 0]]"
12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,4,2,6,"[-16, 8, 3, 1]",-11,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-9, -2, 0, 0]","[[-16, 8, 4, 0], [8, -4, 0, 2], [4, 0, -1, 1], [0, 2, 1, 1]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 1, 1]]",95,-64,8,"['NA', 'NA', [4, 0], [2, 0]]"
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,3,2,6,"[-16, 8, 4]",-11,0,False,3,"[True, True, True]","[True, True, True]","[-9, -2, 0]","[[-16, 8, 4], [8, -4, 2], [4, 2, 2]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 1, 0, 2, 0, 1]]",35,256,5,"['NA', 'NA', [5, 0]]"
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,4,2,6,"[5, -16, 8, -1]",-11,0,False,4,"[True, True, True, True]","[True, True, True, True]","[0, -9, -2, 0]","[[0, 4, 0, 1], [4, -16, 8, 0], [0, 8, -4, 2], [1, 0, 2, 0]]","[[0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 1]]",86,-64,8,"[[6, 0], 'NA', 'NA', [0, 0]]"
15,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,5,3,7,"[-12, 8, 2, 2, -4]",-20,0,False,5,"[True, True, True, True, True]","[True, True, True, True, True]","[-5, -2, -2, 0, -2]","[[-9, 6, 0, 0, 0], [6, -4, 4, 0, 0], [0, 4, -4, 0, 4], [0, 0, 0, -1, 2], [0, 0, 4, 2, -4]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 0, 2, 0, 0, 0], [0, 1, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0]]",173,0,9,"['NA', 'NA', 'NA', [3, 0], 'NA']"
16,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,4,2,6,"[-12, 8, 1, -1]",-11,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-5, -2, 0, 0]","[[-9, 6, 0, 0], [6, -4, 2, 2], [0, 2, -1, 1], [0, 2, 1, 2]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 1, 2]]",87,-36,10,"['NA', 'NA', [2, 0], [0, 0]]"
17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,5,3,7,"[0, -12, 8, 2, -2]",-20,0,False,5,"[True, True, True, True, True]","[True, True, True, True, True]","[0, -5, -2, -2, 0]","[[0, 0, 0, 2, 0], [0, -9, 6, 0, 0], [0, 6, -4, 4, 0], [2, 0, 4, -4, 2], [0, 0, 0, 2, -1]]","[[0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 0, 2, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",160,0,11,"[[1, 0], 'NA', 'NA', 'NA', [0, 1]]"
18,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,4,2,6,"[-12, 8, 1, -1]",-11,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-5, -2, 0, 0]","[[-9, 6, 0, 0], [6, -4, 2, 2], [0, 2, -1, 1], [0, 2, 1, 2]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 1, 2]]",87,-36,10,"['NA', 'NA', [2, 0], [0, 0]]"
19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,4,2,6,"[-12, 8, 2, -2]",-11,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-5, -2, 0, -1]","[[-9, 6, 0, 0], [6, -4, 0, 4], [0, 0, -1, 2], [0, 4, 2, 0]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 0, 2]]",96,-144,12,"['NA', 'NA', [3, 0], [0, 0]]"
20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,3,2,6,"[-12, 8, 0]",-11,0,False,3,"[True, True, True]","[True, True, True]","[-5, -2, 0]","[[-9, 6, 0], [6, -4, 4], [0, 4, 3]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 0, 1, 1, 1, 2]]",33,144,13,"['NA', 'NA', [1, 0]]"
21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,3,2,6,"[-12, 8, 0]",-11,0,False,3,"[True, True, True]","[True, True, True]","[-5, -2, 0]","[[-9, 6, 0], [6, -4, 4], [0, 4, 3]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 1, 0, 2, 0, 2]]",33,144,13,"['NA', 'NA', [1, 0]]"
22,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,3,2,6,"[-12, 8, 0]",-11,0,False,3,"[True, True, True]","[True, True, True]","[-5, -2, 0]","[[-9, 6, 0], [6, -4, 4], [0, 4, 3]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 0, 1, 1, 1, 2]]",33,144,13,"['NA', 'NA', [1, 0]]"
23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,6,3,7,"[-1, -12, 8, 1, 2, -2]",-20,0,False,6,"[True, True, True, True, True, True]","[True, True, True, True, True, True]","[0, -5, -2, 0, 0, 0]","[[0, 0, 2, 0, 1, 0], [0, -9, 6, 0, 0, 0], [2, 6, -4, 2, 0, 0], [0, 0, 2, -1, 0, 1], [1, 0, 0, 0, -1, 1], [0, 0, 0, 1, 1, -1]]","[[0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",188,0,14,"[[0, 0], 'NA', 'NA', [2, 0], [3, 0], [0, 1]]"
24,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,4,2,6,"[-12, 8, 1, -1]",-11,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-5, -2, 0, 0]","[[-9, 6, 0, 0], [6, -4, 2, 2], [0, 2, -1, 1], [0, 2, 1, 2]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 1, 2]]",87,-36,10,"['NA', 'NA', [2, 0], [0, 0]]"
25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,5,3,7,"[1, -12, 8, 1, -2]",-20,0,False,5,"[True, True, True, True, True]","[True, True, True, True, True]","[0, -5, -2, 0, 0]","[[1, 0, 2, 0, 1], [0, -9, 6, 0, 0], [2, 6, -4, 2, 0], [0, 0, 2, -1, 1], [1, 0, 0, 1, -1]]","[[0, 0, 1, 0, 1, 1], [0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",147,0,15,"[[2, 0], 'NA', 'NA', [2, 0], [0, 1]]"
26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,5,2,6,"[0, -1, -12, 8, 1]",-11,0,False,5,"[True, True, True, True, True]","[True, True, True, True, True]","[0, 0, -5, -2, 0]","[[0, 1, 0, 0, 1], [1, 0, 0, 2, 0], [0, 0, -9, 6, 0], [0, 2, 6, -4, 2], [1, 0, 0, 2, -1]]","[[0, 0, 0, 0, 1, 1], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0]]",126,0,15,"[[1, 0], [0, 0], 'NA', 'NA', [2, 0]]"
27,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,4,2,6,"[-12, 8, 2, -2]",-11,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-5, -2, 0, -1]","[[-9, 6, 0, 0], [6, -4, 0, 4], [0, 0, -1, 2], [0, 4, 2, 0]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 0, 2]]",96,-144,12,"['NA', 'NA', [3, 0], [0, 0]]"
28,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,3,2,6,"[-12, 8, 0]",-11,0,False,3,"[True, True, True]","[True, True, True]","[-5, -2, 0]","[[-9, 6, 0], [6, -4, 4], [0, 4, 3]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 0, 1, 1, 1, 2]]",33,144,13,"['NA', 'NA', [1, 0]]"
29,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,3,2,6,"[-12, 8, 0]",-11,0,False,3,"[True, True, True]","[True, True, True]","[-5, -2, 0]","[[-9, 6, 0], [6, -4, 4], [0, 4, 3]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 1, 0, 2, 0, 2]]",33,144,13,"['NA', 'NA', [1, 0]]"
30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,3,2,6,"[-12, 8, 0]",-11,0,False,3,"[True, True, True]","[True, True, True]","[-5, -2, 0]","[[-9, 6, 0], [6, -4, 4], [0, 4, 3]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 0, 1, 1, 1, 2]]",33,144,13,"['NA', 'NA', [1, 0]]"
31,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,5,3,7,"[-16, 4, 6, 4, -2]",-20,0,False,5,"[True, True, True, True, True]","[True, True, True, True, True]","[-9, 0, -2, -2, 0]","[[-16, 4, 8, 0, 0], [4, -1, 0, 0, 0], [8, 0, -4, 4, 0], [0, 0, 4, -4, 2], [0, 0, 0, 2, -1]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 1, 0], [0, 0, 0, 2, 0, 0], [0, 2, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",174,0,16,"['NA', [5, 0], 'NA', 'NA', [0, 1]]"
32,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,4,2,6,"[-16, 4, 3, 5]",-11,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-9, 0, 0, 0]","[[-16, 4, 4, 4], [4, -1, 0, 0], [4, 0, -1, 1], [4, 0, 1, 2]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 2, 1]]",88,-16,17,"['NA', [5, 0], [4, 0], [6, 0]]"
33,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,4,3,7,"[10, -16, 4, -2]",-20,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-1, -9, 0, 0]","[[0, 8, 0, 2], [8, -16, 4, 0], [0, 4, -1, 0], [2, 0, 0, -1]]","[[0, 0, 2, 0, 2, 0], [0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0]]",97,-64,18,"[[12, 0], 'NA', [5, 0], [0, 1]]"
34,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,3,2,6,"[-16, 4, 8]",-11,0,False,3,"[True, True, True]","[True, True, True]","[-9, 0, 0]","[[-16, 4, 8], [4, -1, 0], [8, 0, 3]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 1, 0], [0, 0, 1, 1, 2, 1]]",34,64,19,"['NA', [5, 0], [9, 0]]"
35,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,5,2,6,"[-16, 4, 6, 2, 0]",-11,0,False,5,"[True, True, True, True, True]","[True, True, True, True, True]","[-9, 0, -2, 0, 0]","[[-16, 4, 8, 0, 0], [4, -1, 0, 0, 0], [8, 0, -4, 2, 2], [0, 0, 2, -1, 0], [0, 0, 2, 0, 0]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 1, 0], [0, 0, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1]]",161,0,7,"['NA', [5, 0], 'NA', [3, 0], [1, 0]]"
36,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,4,2,6,"[-16, 4, 3, 5]",-11,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-9, 0, 0, 0]","[[-16, 4, 4, 4], [4, -1, 0, 0], [4, 0, -1, 1], [4, 0, 1, 2]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 2, 1]]",88,-16,17,"['NA', [5, 0], [4, 0], [6, 0]]"
37,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,3,2,6,"[-16, 4, 8]",-11,0,False,3,"[True, True, True]","[True, True, True]","[-9, 0, 0]","[[-16, 4, 8], [4, -1, 0], [8, 0, 3]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 1, 0], [0, 1, 0, 2, 1, 1]]",34,64,19,"['NA', [5, 0], [9, 0]]"
38,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,3,2,6,"[-16, 4, 8]",-11,0,False,3,"[True, True, True]","[True, True, True]","[-9, 0, 0]","[[-16, 4, 8], [4, -1, 0], [8, 0, 3]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 1, 0], [0, 0, 1, 1, 2, 1]]",34,64,19,"['NA', [5, 0], [9, 0]]"
39,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",7,6,3,7,"[5, -16, 4, 3, 2, -2]",-20,0,False,6,"[True, True, True, True, True, True]","[True, True, True, True, True, True]","[0, -9, 0, 0, 0, 0]","[[0, 4, 0, 0, 0, 1], [4, -16, 4, 4, 0, 0], [0, 4, -1, 0, 0, 0], [0, 4, 0, -1, 1, 0], [0, 0, 0, 1, -1, 1], [1, 0, 0, 0, 1, -1]]","[[0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",189,0,20,"[[6, 0], 'NA', [5, 0], [4, 0], [3, 0], [0, 1]]"
40,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,4,2,6,"[-16, 4, 3, 5]",-11,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-9, 0, 0, 0]","[[-16, 4, 4, 4], [4, -1, 0, 0], [4, 0, -1, 1], [4, 0, 1, 2]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 2, 1]]",88,-16,17,"['NA', [5, 0], [4, 0], [6, 0]]"
41,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",7,4,3,7,"[10, -16, 4, -2]",-20,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-1, -9, 0, 0]","[[0, 8, 0, 2], [8, -16, 4, 0], [0, 4, -1, 0], [2, 0, 0, -1]]","[[0, 0, 2, 0, 2, 0], [0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0]]",97,-64,18,"[[12, 0], 'NA', [5, 0], [0, 1]]"
42,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,3,2,6,"[-16, 4, 8]",-11,0,False,3,"[True, True, True]","[True, True, True]","[-9, 0, 0]","[[-16, 4, 8], [4, -1, 0], [8, 0, 3]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 1, 0], [0, 0, 1, 1, 2, 1]]",34,64,19,"['NA', [5, 0], [9, 0]]"
