,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,curve-smooth,curve-split-number,splits-reduced,splits-smooth,splits-genera,splits-intersections,splits-classes,split-type,determinant,split-type2,local-sections-A
503,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",7,5,2,6,"[4, 0, -8, 2, -2]",-11,0,False,5,"[True, True, True, True, True]","[True, True, True, True, True]","[0, 0, -2, 0, 0]","[[2, 2, 2, 1, 1], [2, 0, 0, 0, 0], [2, 0, -4, 0, 0], [1, 0, 0, -1, 1], [1, 0, 0, 1, -1]]","[[0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 2], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",117,0,36,"[[5, 0], [1, 0], 'NA', [3, 0], [0, 1]]"
504,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,2,1,5,"[-8, 4]",-4,0,False,2,"[True, True]","[True, True]","[-2, 2]","[[-4, 2], [2, 10]]","[[0, 0, 0, 0, 0, 2], [0, 0, 1, 1, 3, 3]]",2,-44,51,"['NA', [3, 0]]"
505,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",7,3,2,6,"[6, -8, -2]",-11,0,False,3,"[True, True, True]","[True, True, True]","[1, -2, 0]","[[7, 2, 2], [2, -4, 0], [2, 0, -1]]","[[0, 0, 2, 0, 3, 2], [0, 0, 0, 0, 0, 2], [1, 0, 0, 0, 0, 0]]",26,48,52,"[[6, 0], 'NA', [0, 1]]"
506,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",7,2,1,5,"[-8, 4]",-4,0,False,2,"[True, True]","[True, True]","[-2, 2]","[[-4, 2], [2, 10]]","[[0, 0, 0, 0, 0, 2], [0, 0, 1, 1, 3, 3]]",2,-44,51,"['NA', [3, 0]]"
507,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,3,2,6,"[-8, 2, 2]",-11,0,False,3,"[True, True, True]","[True, True, True]","[-2, 0, 1]","[[-4, 0, 2], [0, -1, 2], [2, 2, 7]]","[[0, 0, 0, 0, 0, 2], [0, 1, 0, 0, 0, 0], [0, 0, 0, 2, 2, 3]]",27,48,52,"['NA', [3, 0], [2, 0]]"
508,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,2,1,5,"[-8, 4]",-4,0,False,2,"[True, True]","[True, True]","[-2, 2]","[[-4, 2], [2, 10]]","[[0, 0, 0, 0, 0, 2], [0, 0, 1, 1, 3, 3]]",2,-44,51,"['NA', [3, 0]]"
509,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",4,2,2,6,"[-8, 4]",-11,0,False,2,"[True, True]","[True, True]","[-2, 2]","[[-4, 2], [2, 10]]","[[0, 0, 0, 0, 0, 2], [0, 1, 0, 2, 2, 3]]",2,-44,51,"['NA', [3, 0]]"
510,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,3,1,5,"[0, 4, -8]",-4,0,False,3,"[True, True, True]","[True, True, True]","[-1, 0, -2]","[[0, 4, 0], [4, 2, 2], [0, 2, -4]]","[[0, 0, 0, 0, 2, 2], [0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 0, 2]]",28,64,53,"[[2, 0], [5, 0], 'NA']"
511,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,5,2,6,"[-8, 3, 1, 6, -6]",-11,0,False,5,"[True, True, True, True, True]","[True, True, True, True, True]","[-2, 0, 0, -5, -5]","[[-4, 2, 0, 0, 0], [2, -1, 0, 3, 0], [0, 0, -1, 0, 3], [0, 3, 0, -9, 9], [0, 0, 3, 9, -9]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 3, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0]]",172,0,56,"['NA', [4, 0], [2, 0], 'NA', 'NA']"
512,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,5,1,5,"[0, 0, -8, 3, 1]",-4,0,False,5,"[True, True, True, True, True]","[True, True, True, True, True]","[-1, 0, -2, 0, 0]","[[0, 0, 0, 2, 2], [0, 0, 0, 1, 1], [0, 0, -4, 2, 0], [2, 1, 2, -1, 0], [2, 1, 0, 0, -1]]","[[0, 0, 0, 0, 2, 2], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 2], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0]]",137,0,38,"[[2, 0], [1, 0], 'NA', [4, 0], [2, 0]]"
513,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,4,2,6,"[5, -8, 1, -2]",-11,0,False,4,"[True, True, True, True]","[True, True, True, True]","[0, -2, 0, 0]","[[4, 2, 2, 1], [2, -4, 0, 0], [2, 0, -1, 1], [1, 0, 1, -1]]","[[0, 0, 1, 0, 3, 2], [0, 0, 0, 0, 0, 2], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",78,-36,57,"[[6, 0], 'NA', [2, 0], [0, 1]]"
514,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,3,1,5,"[-8, 1, 3]",-4,0,False,3,"[True, True, True]","[True, True, True]","[-2, 0, 0]","[[-4, 0, 2], [0, -1, 3], [2, 3, 5]]","[[0, 0, 0, 0, 0, 2], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 3, 3]]",30,60,58,"['NA', [2, 0], [4, 0]]"
515,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,4,1,5,"[-8, 3, 2, -1]",-4,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-2, 0, 0, 0]","[[-4, 2, 0, 0], [2, -1, 1, 2], [0, 1, -1, 1], [0, 2, 1, 4]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 2, 3]]",79,-16,33,"['NA', [4, 0], [3, 0], [0, 0]]"
516,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,3,1,5,"[-8, 3, 1]",-4,0,False,3,"[True, True, True]","[True, True, True]","[-2, 0, 0]","[[-4, 2, 0], [2, -1, 3], [0, 3, 5]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 3, 3]]",31,36,59,"['NA', [4, 0], [2, 0]]"
517,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,2,1,5,"[-8, 4]",-4,0,False,2,"[True, True]","[True, True]","[-2, 2]","[[-4, 2], [2, 10]]","[[0, 0, 0, 0, 0, 2], [0, 1, 0, 2, 2, 3]]",2,-44,51,"['NA', [3, 0]]"
518,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,2,1,5,"[-8, 4]",-4,0,False,2,"[True, True]","[True, True]","[-2, 2]","[[-4, 2], [2, 10]]","[[0, 0, 0, 0, 0, 2], [0, 0, 1, 1, 3, 3]]",2,-44,51,"['NA', [3, 0]]"
519,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,6,2,6,"[0, -8, 3, 1, 2, -2]",-11,0,False,6,"[True, True, True, True, True, True]","[True, True, True, True, True, True]","[-1, -2, 0, 0, 0, 0]","[[0, 0, 2, 2, 0, 0], [0, -4, 2, 0, 0, 0], [2, 2, -1, 0, 1, 0], [2, 0, 0, -1, 0, 1], [0, 0, 1, 0, -1, 1], [0, 0, 0, 1, 1, -1]]","[[0, 0, 0, 0, 2, 2], [0, 0, 0, 0, 0, 2], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",193,0,60,"[[2, 0], 'NA', [4, 0], [2, 0], [3, 0], [0, 1]]"
520,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",6,4,1,5,"[-8, 3, 1, 0]",-4,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-2, 0, 0, -2]","[[-4, 2, 0, 0], [2, -1, 0, 3], [0, 0, -1, 3], [0, 3, 3, 0]]","[[0, 0, 0, 0, 0, 2], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 3, 3]]",91,-36,61,"['NA', [4, 0], [2, 0], [3, 0]]"
