,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",10,4,2,4,"[2, -6, -1, 3]",-7,0,"['NA', 'NA', [0, 0], [4, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",6,4,3,5,"[1, -6, 6, -3]",-14,0,"[[2, 0], 'NA', 'NA', [0, 2]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",6,4,2,4,"[1, -6, 3, 0]",-7,0,"[[2, 0], 'NA', [4, 0], [1, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",6,4,0,2,"[2, -3, -2, 1]",1,0,"['NA', [0, 2], 'NA', [2, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",7,4,0,2,"[2, -3, -1, 0]",1,0,"['NA', [0, 2], [0, 0], [1, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",6,3,0,2,"[1, -3, 0]",1,0,"[[2, 0], [0, 2], [1, 0]]"
6,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",7,3,0,2,"[1, -3, 0]",1,0,"[[2, 0], [0, 2], [1, 0]]"
7,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",10,6,2,4,"[1, -3, -1, 3, 1, -3]",-7,0,"[[2, 0], [0, 2], [0, 0], [4, 0], [2, 0], [0, 2]]"
8,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",6,5,2,4,"[1, -3, -1, 3, -2]",-7,0,"[[2, 0], [0, 2], [0, 0], [4, 0], [0, 1]]"
9,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",7,5,2,4,"[0, 1, -3, 3, -3]",-7,0,"[[1, 0], [2, 0], [0, 2], [4, 0], [0, 2]]"
10,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",6,4,2,4,"[1, -3, 3, -3]",-7,0,"[[2, 0], [0, 2], [4, 0], [0, 2]]"
11,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",6,5,0,2,"[1, -3, -1, 1, 0]",1,0,"[[2, 0], [0, 2], [0, 0], [2, 0], [1, 0]]"
12,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",7,4,0,2,"[1, -3, -1, 1]",1,0,"[[2, 0], [0, 2], [0, 0], [2, 0]]"
13,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",6,3,0,2,"[1, -3, 0]",1,0,"[[2, 0], [0, 2], [1, 0]]"
14,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",7,4,0,2,"[0, 1, -3, 0]",1,0,"[[1, 0], [2, 0], [0, 2], [1, 0]]"
15,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",10,4,3,5,"[-3, 6, 1, -6]",-14,0,"[[0, 2], 'NA', [2, 0], 'NA']"
16,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",6,3,2,4,"[-3, 3, -2]",-7,0,"[[0, 2], [4, 0], [0, 1]]"
17,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",6,4,3,5,"[-2, -3, 6, -3]",-14,0,"[[0, 1], [0, 2], 'NA', [0, 2]]"
18,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",7,3,2,4,"[-3, 3, -2]",-7,0,"[[0, 2], [4, 0], [0, 1]]"
19,"[0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",6,3,0,2,"[-3, 1, 0]",1,0,"[[0, 2], [2, 0], [2, 0]]"
20,"[0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",6,2,0,2,"[-3, 1]",1,0,"[[0, 2], [2, 0]]"
21,"[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",7,2,0,2,"[-3, 1]",1,0,"[[0, 2], [2, 0]]"
22,"[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",6,2,0,2,"[-3, 1]",1,0,"[[0, 2], [2, 0]]"
23,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",10,5,2,4,"[0, -3, 3, 1, -3]",-7,0,"[[1, 0], [0, 2], [4, 0], [2, 0], [0, 2]]"
24,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",6,3,2,4,"[-3, 3, -2]",-7,0,"[[0, 2], [4, 0], [0, 1]]"
25,"[0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",6,4,2,4,"[1, -3, 3, -3]",-7,0,"[[2, 0], [0, 2], [4, 0], [0, 2]]"
26,"[0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",7,4,2,4,"[-2, 0, -3, 3]",-7,0,"[[0, 1], [1, 0], [0, 2], [4, 0]]"
27,"[0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",6,3,0,2,"[-3, 1, 0]",1,0,"[[0, 2], [2, 0], [2, 0]]"
28,"[0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -1, -3, -1]",6,2,0,2,"[-3, 1]",1,0,"[[0, 2], [2, 0]]"
