,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -3, -2]",12,4,3,8,"[4, -8, -4, 3]",-23,0,"['NA', 'NA', [0, 3], [4, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -3, -2]",9,4,4,9,"[2, -8, 6, -5]",-35,0,"[[3, 0], 'NA', 'NA', [0, 4]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -3, -2]",9,4,3,8,"[2, -8, 3, -2]",-23,0,"[[3, 0], 'NA', [4, 0], [0, 1]]"
3,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -3, -2]",10,4,3,8,"[4, -4, -8, 3]",-23,0,"['NA', [0, 3], 'NA', [4, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -3, -2]",9,4,1,6,"[4, -4, -4, -1]",-5,0,"['NA', [0, 3], [0, 3], [0, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -3, -2]",10,3,1,6,"[2, -4, -3]",-5,0,"[[3, 0], [0, 3], [0, 2]]"
6,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -3, -2]",10,3,1,6,"[2, -4, -3]",-5,0,"[[3, 0], [0, 3], [0, 2]]"
7,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -3, -2]",12,6,5,10,"[2, -4, -4, 3, 3, -5]",-49,0,"[[3, 0], [0, 3], [0, 3], [4, 0], [4, 0], [0, 4]]"
8,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -3, -2]",9,5,3,8,"[2, -4, -4, 3, -2]",-23,0,"[[3, 0], [0, 3], [0, 3], [4, 0], [0, 1]]"
9,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -3, -2]",9,5,3,8,"[-1, 2, -4, 3, -5]",-23,0,"[[0, 0], [3, 0], [0, 3], [4, 0], [0, 4]]"
10,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -3, -2]",10,4,3,8,"[2, -4, 3, -6]",-23,0,"[[3, 0], [0, 3], [4, 0], [0, 5]]"
11,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -3, -2]",9,5,3,8,"[2, -4, -4, 3, -2]",-23,0,"[[3, 0], [0, 3], [0, 3], [4, 0], [0, 1]]"
12,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -3, -2]",10,4,1,6,"[2, -4, -4, 1]",-5,0,"[[3, 0], [0, 3], [0, 3], [2, 0]]"
13,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -3, -2]",10,3,1,6,"[2, -4, -3]",-5,0,"[[3, 0], [0, 3], [0, 2]]"
14,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -3, -2]",9,4,1,6,"[-1, 2, -4, -2]",-5,0,"[[0, 0], [3, 0], [0, 3], [0, 1]]"
15,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -3, -2]",12,4,5,10,"[-4, 6, 3, -10]",-49,0,"[[0, 3], 'NA', [4, 0], 'NA']"
16,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -3, -2]",9,3,2,7,"[-4, 3, -4]",-13,0,"[[0, 3], [4, 0], [0, 3]]"
