,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",23,4,10,9,"[15, -12, -4, 2]",-89,0,"['NA', 'NA', [0, 3], [3, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",23,4,10,9,"[12, -12, 4, -3]",-89,0,"['NA', 'NA', 'NA', [0, 2]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",24,4,10,9,"[12, -12, 2, -1]",-89,0,"['NA', 'NA', [3, 0], [0, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",23,4,11,10,"[15, -8, -8, 2]",-109,0,"['NA', 'NA', 'NA', [3, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",23,4,10,9,"[15, -8, -4, -2]",-89,0,"['NA', 'NA', [0, 3], [0, 1]]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",24,3,10,9,"[12, -8, -3]",-89,0,"['NA', 'NA', [0, 2]]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",26,3,10,9,"[12, -8, -3]",-89,0,"['NA', 'NA', [0, 2]]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",24,6,11,10,"[12, -8, -4, 2, 2, -3]",-109,0,"['NA', 'NA', [0, 3], [3, 0], [3, 0], [0, 2]]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",25,5,10,9,"[12, -8, -4, 2, -1]",-89,0,"['NA', 'NA', [0, 3], [3, 0], [0, 0]]"
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",25,5,10,9,"[-2, 12, -8, 2, -3]",-89,0,"[[0, 1], 'NA', 'NA', [3, 0], [0, 2]]"
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",28,4,10,9,"[12, -8, 2, -5]",-89,0,"['NA', 'NA', [3, 0], [0, 4]]"
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",25,5,11,10,"[12, -8, -4, 2, -1]",-109,0,"['NA', 'NA', [0, 3], [3, 0], [0, 0]]"
12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",25,4,10,9,"[12, -8, -4, 1]",-89,0,"['NA', 'NA', [0, 3], [2, 0]]"
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",25,3,10,9,"[12, -8, -3]",-89,0,"['NA', 'NA', [0, 2]]"
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",26,4,10,9,"[-2, 12, -8, -1]",-89,0,"[[0, 1], 'NA', 'NA', [0, 0]]"
15,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",23,5,10,9,"[9, -8, 4, 2, -6]",-89,0,"['NA', 'NA', 'NA', [3, 0], 'NA']"
16,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",23,4,9,8,"[9, -8, 2, -2]",-71,0,"['NA', 'NA', [3, 0], [0, 1]]"
17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",24,5,9,8,"[-1, 9, -8, 4, -3]",-71,0,"[[0, 0], 'NA', 'NA', 'NA', [0, 2]]"
18,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",25,4,9,8,"[9, -8, 2, -2]",-71,0,"['NA', 'NA', [3, 0], [0, 1]]"
19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",25,4,10,9,"[9, -8, 2, -2]",-89,0,"['NA', 'NA', [3, 0], [0, 0]]"
20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",26,3,9,8,"[9, -8, 0]",-71,0,"['NA', 'NA', [1, 0]]"
21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",26,3,9,8,"[9, -8, 0]",-71,0,"['NA', 'NA', [1, 0]]"
22,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",27,3,9,8,"[9, -8, 0]",-71,0,"['NA', 'NA', [1, 0]]"
23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",23,6,10,9,"[-1, 9, -8, 2, 2, -3]",-89,0,"[[0, 0], 'NA', 'NA', [3, 0], [3, 0], [0, 2]]"
24,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",26,4,9,8,"[9, -8, 2, -2]",-71,0,"['NA', 'NA', [3, 0], [0, 1]]"
25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",26,5,9,8,"[1, 9, -8, 2, -3]",-71,0,"[[2, 0], 'NA', 'NA', [3, 0], [0, 2]]"
26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",25,5,9,8,"[-1, -1, 9, -8, 2]",-71,0,"[[0, 0], [0, 0], 'NA', 'NA', [3, 0]]"
27,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",24,4,10,9,"[9, -8, 2, -2]",-89,0,"['NA', 'NA', [3, 0], [0, 0]]"
28,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -2, -3]",26,3,9,8,"[9, -8, 0]",-71,0,"['NA', 'NA', [1, 0]]"
